,word,count,type
1182,half,4,adj
1183,unprocessed,1,adj
1184,lax,1,adj
1185,quarter,2,adj
1186,Congressional,1,adj
1187,optimal,1,adj
1188,electrostatic,2,adj
1189,industrial,2,adj
1190,mistaken,1,adj
1191,focused,1,adj
1192,sensational,1,adj
1193,aerial,2,adj
1194,Malaysian,2,adj
1195,holy,2,adj
1196,logistical,1,adj
1197,Various,3,adj
1198,cardiac,1,adj
1199,pre-arrest,1,adj
1200,faulty,1,adj
1201,cutaneous,1,adj
1202,surprising,1,adj
1203,Albanian,1,adj
1204,educated,1,adj
1205,goofy,1,adj
1206,detailed,6,adj
1207,minimal,2,adj
1208,Federal,5,adj
1209,very,5,adj
1210,charitable,1,adj
1211,sufficient,2,adj
1212,due,3,adj
1213,reliable,8,adj
1214,pending,1,adj
1215,uncertain,1,adj
1216,apparent,1,adj
1217,coincidental,1,adj
1218,regrettable,2,adj
1219,forthcoming,1,adj
1220,Round,1,adj
1221,admin,1,adj
1222,Admin,1,adj
1223,Sr.,1,adj
1224,biased,1,adj
1225,unexercised,1,adj
1226,vested,1,adj
1227,Current,2,adj
1228,Satisfactory,1,adj
1229,specialist,1,adj
1230,salary,1,adj
1231,regulatory,3,adj
1232,electric,5,adj
1233,traditional,2,adj
1234,legislative,3,adj
1235,Independent,6,adj
1236,Happy,2,adj
1237,Same,3,adj
1238,impressionist,2,adj
1239,cubist,1,adj
1240,interested,5,adj
1241,intial,1,adj
1242,attributable,1,adj
1243,Maximum,1,adj
1244,west,2,adj
1245,fundamental,8,adj
1246,worldwide,2,adj
1247,meaningful,1,adj
1248,proprietary,2,adj
1249,anonymous,1,adj
1250,bondad,1,adj
1251,sole,3,adj
1252,express,2,adj
1253,heartwarming,1,adj
1254,Kuwaiti,1,adj
