,n_word,n_firstSound,n_word_count,n_lemma,n_lemma_count,det,det_count,num,num_count,n_id,sen_id
48.0,move,Consonant,17,move,19,this,886.0,,,21,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0004
49.0,tradeoff,Consonant,1,tradeoff,1,a,4555.0,,,27,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0004
50.0,troops,Consonant,22,troops,22,the,9347.0,,,3,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0005
51.0,crowd,Consonant,5,crowd,9,the,9347.0,,,8,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0005
52.0,manhunt,Consonant,2,manhunt,2,the,9347.0,,,8,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0006
53.0,officials,Vowel,33,official,42,,,,,12,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0006
54.0,heartland,Consonant,2,heartland,2,the,9347.0,,,16,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0006
55.0,ways,Consonant,17,way,242,,,,,26,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0006
56.0,standing,Consonant,4,standing,5,,,,,32,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0006
57.0,analyst,Consonant,20,analyst,28,,,,,6,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0001
58.0,day,Consonant,207,day,332,an,590.0,,,7,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0001
59.0,chance,Consonant,33,chance,39,a,4555.0,,,10,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0001
60.0,company,Consonant,112,company,139,the,9347.0,,,14,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0001
61.0,story,Consonant,26,story,40,,,,,16,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0001
62.0,number,Consonant,191,number,219,the,9347.0,,,21,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0001
63.0,people,Consonant,316,people,327,,,,,24,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0001
64.0,chance,Consonant,33,chance,39,a,4555.0,,,7,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0002
65.0,suckups,Consonant,1,suckup,1,the,9347.0,,,10,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0002
66.0,time,Consonant,479,time,558,this,886.0,,,17,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0002
67.0,people,Consonant,316,people,327,,,,,18,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0002
68.0,company,Consonant,112,company,139,the,9347.0,,,24,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0002
69.0,plans,Consonant,23,plan,55,,,,,26,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0002
70.0,company,Consonant,112,company,139,a,4555.0,,,15,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0003
71.0,goals,Consonant,10,goal,21,,,,,18,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0003
72.0,company,Consonant,112,company,139,a,4555.0,,,30,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0003
73.0,history,Consonant,30,history,30,,,,,33,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0003
74.0,environment,Consonant,22,environment,22,an,590.0,,,8,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
75.0,proof,Consonant,10,proof,10,a,4555.0,,,22,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
76.0,company,Consonant,112,company,139,the,9347.0,,,26,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
77.0,self,Consonant,20,self,20,,,,,28,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
78.0,research,Consonant,23,research,23,,,,,31,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
79.0,strategy,Consonant,12,strategy,16,,,,,32,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
80.0,employees,Consonant,36,employee,39,,,,,36,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
81.0,day,Consonant,207,day,332,,,one,244.0,38,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
82.0,week,Consonant,114,week,168,a,4555.0,,,40,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
83.0,research,Consonant,23,research,23,,,,,43,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
84.0,projects,Consonant,12,project,58,,,,,44,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
85.0,idea,Vowel,43,idea,66,a,4555.0,,,54,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
86.0,article,Consonant,38,article,43,the,9347.0,,,4,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0005
87.0,punchline,Consonant,1,punchline,1,a,4555.0,,,9,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0005
88.0,opinion,Vowel,29,opinion,37,,,,,2,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0001
89.0,piece,Consonant,30,piece,46,,,,,3,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0001
90.0,implications,Vowel,5,implication,6,the,9347.0,,,6,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0001
91.0,passing,Consonant,3,passing,3,,,,,10,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0001
92.0,excerpt,Consonant,3,excerpt,4,,,,,1,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0002
93.0,nationalism,Consonant,3,nationalism,3,,,,,5,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0003
94.0,state,Consonant,64,state,74,,,two,195.0,19,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0003
95.0,solution,Consonant,21,solution,26,a,4555.0,,,20,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0003
96.0,road,Consonant,22,road,22,the,9347.0,,,25,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0003
97.0,negotiations,Consonant,4,negotiation,6,,,,,27,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0003
98.0,colonization,Consonant,3,colonization,3,the,9347.0,,,4,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0004
99.0,1990s,Consonant,3,1990,3,the,9347.0,,,12,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0004
100.0,attacks,Consonant,26,attack,58,,,,,18,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0004
101.0,groups,Consonant,46,group,143,,,,,21,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0004
102.0,peace,Consonant,51,peace,51,,,,,29,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0004
103.0,process,Consonant,63,process,68,the,9347.0,,,30,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0004
104.0,death,Consonant,43,death,52,,,,,3,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0005
105.0,vacuum,Consonant,2,vacuum,2,a,4555.0,,,6,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0005
106.0,leadership,Consonant,9,leadership,10,,,,,9,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0005
107.0,assassination,Consonant,11,assassination,11,,,,,3,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0006
108.0,leaders,Consonant,41,leader,72,,,,,7,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0006
109.0,authority,Consonant,13,authority,25,,,,,11,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0006
110.0,structures,Consonant,2,structure,13,,,,,12,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0006
111.0,party,Consonant,29,party,48,that,203.0,,,15,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0006
112.0,leadership,Consonant,9,leadership,10,the,9347.0,,,7,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0007
113.0,way,Consonant,225,way,242,a,4555.0,,,12,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0007
114.0,peace,Consonant,51,peace,51,,,,,16,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0007
115.0,process,Consonant,63,process,68,the,9347.0,,,17,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0007
116.0,cells,Consonant,6,cell,22,,,,,19,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0007
117.0,cues,Consonant,1,cue,2,,,,,34,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0007
118.0,leaders,Consonant,41,leader,72,,,,,5,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
119.0,struggle,Consonant,6,struggle,6,the,9347.0,,,21,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
120.0,recruiting,Consonant,8,recruiting,8,,,,,26,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
121.0,posters,Consonant,5,poster,10,the,9347.0,,,27,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
122.0,men,Consonant,24,man,73,,,,,35,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
123.0,conflict,Consonant,19,conflict,22,this,886.0,,,3,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0009
124.0,weapon,Consonant,14,weapon,60,the,9347.0,,,9,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0009
125.0,war,Consonant,70,war,74,,,,,17,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0009
126.0,terror,Consonant,24,terror,24,,,,,19,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0009
127.0,range,Consonant,23,range,25,a,4555.0,,,6,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
128.0,forces,Consonant,40,force,60,,,,,10,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
129.0,murder,Consonant,17,murder,29,,,,,16,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
130.0,leader,Consonant,31,leader,72,a,4555.0,,,24,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
131.0,day,Consonant,207,day,332,the,9347.0,,,29,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
132.0,board,Consonant,29,board,31,the,9347.0,,,2,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0002
133.0,clerics,Consonant,7,cleric,11,,,,,5,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0002
134.0,km,Consonant,1,km,1,,,50,14.0,10,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0002
135.0,assassination,Consonant,11,assassination,11,the,9347.0,,,18,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0002
136.0,revenge,Consonant,2,revenge,2,,,,,22,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0002
137.0,coalition,Consonant,7,coalition,7,,,,,25,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0002
138.0,soldiers,Consonant,22,soldier,25,the,9347.0,,,26,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0002
139.0,strike,Consonant,5,strike,8,a,4555.0,,,16,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0003
140.0,troops,Consonant,22,troops,22,,,,,2,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0004
141.0,guerrillas,Consonant,11,guerrilla,13,,,,,6,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0004
142.0,fight,Consonant,7,fight,9,a,4555.0,,,9,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0004
143.0,demonstration,Consonant,3,demonstration,7,a,4555.0,,,8,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0005
144.0,cleric,Consonant,4,cleric,11,,,,,3,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0006
145.0,attack,Consonant,32,attack,58,the,9347.0,,,10,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0006
146.0,choice,Consonant,23,choice,27,,,one,244.0,24,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0006
147.0,fighting,Consonant,8,fighting,8,,,,,31,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0006
148.0,jihad,Consonant,7,jihad,7,,,,,33,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0006
149.0,communique,Consonant,2,communique,2,a,4555.0,,,7,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
150.0,proof,Consonant,10,proof,10,a,4555.0,,,14,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
151.0,emptiness,Consonant,2,emptiness,2,the,9347.0,,,17,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
152.0,authority,Consonant,13,authority,25,the,9347.0,,,21,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
153.0,destruction,Consonant,10,destruction,10,a,4555.0,,,24,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
154.0,peace,Consonant,51,peace,51,,,,,27,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
155.0,endeavors,Consonant,1,endeavor,3,the,9347.0,,,28,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
156.0,region,Consonant,32,region,39,the,9347.0,,,31,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
157.0,operation,Vowel,15,operation,35,this,886.0,,,2,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0008
158.0,acts,Consonant,9,act,25,the,9347.0,,,8,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0008
159.0,world,Consonant,140,world,141,the,9347.0,,,11,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0008
160.0,peace,Consonant,51,peace,51,,,,,16,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0008
161.0,region,Consonant,32,region,39,the,9347.0,,,19,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0008
162.0,message,Consonant,63,message,72,the,9347.0,,,23,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0008
163.0,occupation,Vowel,14,occupation,15,the,9347.0,,,14,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0009
164.0,case,Consonant,66,case,79,,,,,20,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0009
165.0,people,Consonant,316,people,327,the,9347.0,,,26,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0009
166.0,occupation,Vowel,14,occupation,15,the,9347.0,,,31,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0009
167.0,incidents,Vowel,1,incident,9,an,590.0,,,5,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0010
168.0,snipers,Consonant,2,sniper,2,,,,,13,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0010
169.0,group,Consonant,97,group,143,a,4555.0,,,19,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0010
170.0,police,Consonant,26,police,26,,,,,21,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0010
171.0,trainees,Consonant,1,trainee,1,,,,,22,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0010
172.0,bus,Consonant,30,bus,39,a,4555.0,,,25,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0010
173.0,police,Consonant,26,police,26,,,two,195.0,30,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0010
174.0,whispers,Consonant,1,whisper,1,the,9347.0,,,5,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
175.0,ipo,Vowel,1,ipo,1,,,,,9,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
176.0,investors,Vowel,7,investor,9,,,,,12,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
177.0,stock,Consonant,28,stock,29,the,9347.0,,,17,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
178.0,price,Consonant,140,price,197,a,4555.0,,,26,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
179.0,business,Consonant,112,business,120,,,,,34,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
180.0,model,Consonant,21,model,28,a,4555.0,,,35,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
181.0,execution,Consonant,13,execution,14,some,337.0,,,40,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
182.0,price,Consonant,140,price,197,the,9347.0,,,43,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
183.0,investors,Vowel,7,investor,9,,,,,49,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
184.0,profit,Consonant,3,profit,6,a,4555.0,,,54,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
185.0,people,Consonant,316,people,327,,,,,3,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0004
186.0,search,Consonant,25,search,26,,,,,20,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
187.0,engine,Consonant,17,engine,17,a,4555.0,,,21,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
188.0,grass,Consonant,2,grass,2,,,,,25,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
189.0,roots,Consonant,2,root,5,,,,,27,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
190.0,support,Consonant,37,support,37,some,337.0,,,28,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
191.0,grace,Consonant,1,grace,1,the,9347.0,,,33,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
192.0,simplicity,Consonant,2,simplicity,2,,,,,35,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
193.0,simplicity,Consonant,2,simplicity,2,,,,,1,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
194.0,lack,Consonant,24,lack,24,that,203.0,,,8,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
195.0,clutter,Consonant,1,clutter,1,,,,,10,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
196.0,text,Consonant,13,text,16,,,,,16,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
197.0,ads,Consonant,2,ad,5,the,9347.0,,,19,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
198.0,support,Consonant,37,support,37,the,9347.0,,,23,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
199.0,connection,Consonant,27,connection,33,a,4555.0,,,31,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
200.0,problem,Consonant,86,problem,134,the,9347.0,,,2,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0008
201.0,customers,Consonant,39,customer,109,,,,,5,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0008
202.0,interface,Vowel,2,interface,2,a,4555.0,,,10,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0008
203.0,fight,Consonant,7,fight,9,the,9347.0,,,22,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0008
204.0,features,Consonant,4,feature,6,,,,,28,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0008
205.0,end,Consonant,84,end,87,,,,,32,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0008
206.0,camera,Consonant,25,camera,27,,,,,33,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0008
207.0,companies,Consonant,25,company,139,,,,,34,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0008
208.0,problem,Consonant,86,problem,134,the,9347.0,,,3,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0009
209.0,money,Consonant,111,money,113,,,,,6,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0010
210.0,appeal,Consonant,2,appeal,3,,,,,11,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0010
211.0,focus,Consonant,11,focus,11,,,,,15,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0010
212.0,survey,Consonant,3,survey,4,the,9347.0,,,3,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0011
213.0,article,Consonant,38,article,43,the,9347.0,,,10,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0011
214.0,users,Vowel,8,user,13,,,,,15,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0011
215.0,features,Consonant,4,feature,6,,,,,6,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
216.0,sky,Consonant,7,sky,9,,,,,13,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
217.0,valuation,Consonant,4,valuation,4,,,,,16,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
218.0,chunk,Consonant,2,chunk,2,a,4555.0,,,23,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
219.0,customer,Consonant,70,customer,109,,,,,26,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
220.0,base,Consonant,23,base,23,,,,,27,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
221.0,search,Consonant,25,search,26,,,,,36,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
