,adj_word,adj_word_len,adj_word_count,adj_lemma,adj_comb,num_adj,n_word,n_word_len,n_word_count,n_lemma,n_lemma_count,adj_id,n_id,sen_len,sen_id
15.0,bad,3,75,bad,"bad, bad",2,tradeoff,8,2.0,tradeoff,2.0,24,27,29,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0004
16.0,bad,3,75,bad,"bad, bad",2,tradeoff,8,2.0,tradeoff,2.0,26,27,29,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0004
17.0,hostile,7,4,hostile,hostile,1,crowd,5,2.0,crowd,4.0,7,8,12,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0005
18.0,clear,5,28,clear,clear,1,,0,,,,3,,36,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0006
19.0,high,4,61,high,high,1,officials,9,20.0,official,27.0,10,12,36,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0006
20.0,Sunni,5,28,sunni,Sunni,1,heartland,9,2.0,heartland,2.0,15,16,36,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0006
21.0,bad,3,75,bad,bad,1,ways,4,11.0,way,65.0,29,26,36,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0006
22.0,local,5,50,local,local,1,,0,,,,34,,36,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0006
23.0,miniscule,9,2,miniscule,miniscule,1,number,6,25.0,number,33.0,20,21,30,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0001
24.0,concerned,9,18,concerned,concerned,1,chance,6,7.0,chance,7.0,21,7,27,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0002
25.0,evil,4,2,evil,evil,1,,0,,,,24,,42,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0003
26.0,eventually,10,1,eventually,eventually,1,history,7,10.0,history,10.0,32,33,42,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0003
27.0,profitable,10,3,profitable,profitable,1,,0,,,,40,,42,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0003
28.0,freewheeling,12,1,freewheeling,freewheeling,1,environment,11,10.0,environment,10.0,6,8,55,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
29.0,mathematical,12,4,mathematical,mathematical,1,proof,5,3.0,proof,3.0,20,22,55,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
30.0,own,3,94,own,own,1,,0,,,,47,,55,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
31.0,good,4,379,good,"good, respectable",2,idea,4,23.0,idea,35.0,51,54,55,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
32.0,respectable,11,2,respectable,"good, respectable",2,idea,4,23.0,idea,35.0,53,54,55,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
33.0,entire,6,34,entire,entire,1,article,7,5.0,article,6.0,3,4,12,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0005
34.0,secular,7,2,secular,secular,1,nationalism,11,3.0,nationalism,3.0,4,5,30,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0003
35.0,supple,6,1,supple,supple,1,,0,,,,7,,30,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0003
36.0,rocky,5,1,rocky,rocky,1,,0,,,,29,,30,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0003
37.0,Israeli,7,18,israeli,Israeli,1,colonization,12,1.0,colonization,1.0,3,4,37,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0004
38.0,terrorist,9,18,terrorist,terrorist,1,attacks,7,13.0,attack,19.0,17,18,37,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0004
39.0,radical,7,13,radical,radical,1,groups,6,34.0,group,55.0,20,21,37,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0004
40.0,such,4,83,such,such,1,,0,,,,22,,37,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0004
41.0,Palestinian,11,21,palestinian,Palestinian,1,leadership,10,8.0,leadership,9.0,8,9,16,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0005
42.0,major,5,35,major,major,1,leaders,7,24.0,leader,48.0,5,7,16,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0006
43.0,Palestinian,11,21,palestinian,Palestinian,1,leadership,10,8.0,leadership,9.0,6,7,35,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0007
44.0,radical,7,13,radical,"radical, young",2,,0,,,,21,,35,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0007
45.0,young,5,42,young,"radical, young",2,,0,,,,22,,35,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0007
46.0,local,5,50,local,"local, Palestinian",2,leaders,7,24.0,leader,48.0,3,5,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
47.0,Palestinian,11,21,palestinian,"local, Palestinian",2,leaders,7,24.0,leader,48.0,4,5,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
48.0,strong,6,34,strong,strong,1,,0,,,,7,,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
49.0,enough,6,44,enough,enough,1,,0,,,,8,,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
50.0,Israeli,7,18,israeli,Israeli,1,,0,,,,18,,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
51.0,Palestinian,11,21,palestinian,Palestinian,1,struggle,8,3.0,struggle,3.0,20,21,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
52.0,best,4,210,best,best,1,posters,7,2.0,poster,5.0,25,27,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
53.0,young,5,42,young,"young, Muslim",2,men,3,17.0,man,32.0,33,35,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
54.0,Muslim,6,12,muslim,"young, Muslim",2,men,3,17.0,man,32.0,34,35,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
55.0,effective,9,16,effective,effective,1,weapon,6,11.0,weapon,47.0,8,9,21,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0009
56.0,wide,4,7,wide,wide,1,range,5,11.0,range,11.0,5,6,31,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
57.0,Iraqi,5,44,iraqi,"Iraqi, political",2,forces,6,19.0,force,34.0,8,10,31,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
58.0,political,9,43,political,"Iraqi, political",2,forces,6,19.0,force,34.0,9,10,31,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
59.0,religious,9,23,religious,religious,1,leader,6,21.0,leader,48.0,23,24,31,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
60.0,Muslim,6,12,muslim,Muslim,1,clerics,7,7.0,cleric,13.0,4,5,30,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0002
61.0,immediate,9,11,immediate,immediate,1,revenge,7,1.0,revenge,1.0,21,22,30,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0002
62.0,general,7,22,general,general,1,strike,6,4.0,strike,6.0,15,16,17,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0003
63.0,dead,4,34,dead,dead,1,,0,,,,14,,15,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0004
64.0,big,3,68,big,big,1,demonstration,13,1.0,demonstration,1.0,7,8,9,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0005
65.0,Radical,7,1,radical,"Radical, Shiite",2,cleric,6,6.0,cleric,13.0,1,3,35,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0006
66.0,Shiite,6,15,shiite,"Radical, Shiite",2,cleric,6,6.0,cleric,13.0,2,3,35,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0006
67.0,criminal,8,7,criminal,criminal,1,,0,,,,13,,35,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0006
68.0,interim,7,2,interim,interim,1,,0,,,,2,,34,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
69.0,Israeli,7,18,israeli,Israeli,1,authority,9,8.0,authority,12.0,20,21,34,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
70.0,terrorist,9,18,terrorist,terrorist,1,acts,4,5.0,act,8.0,7,8,25,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0008
71.0,Many,4,26,many,Many,1,,0,,,,5,,33,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0009
72.0,American,8,73,american,American,1,occupation,10,4.0,occupation,4.0,13,14,33,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0009
73.0,Palestinian,11,21,palestinian,Palestinian,1,people,6,110.0,people,115.0,25,26,33,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0009
74.0,Israeli,7,18,israeli,Israeli,1,occupation,10,4.0,occupation,4.0,30,31,33,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0009
75.0,unrelated,9,1,unrelated,unrelated,1,incidents,9,1.0,incident,1.0,4,5,33,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0010
76.0,first,5,117,first,first,1,whispers,8,1.0,whisper,1.0,4,5,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
77.0,most,4,64,most,most,1,investors,9,1.0,investor,2.0,11,12,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
78.0,public,6,34,public,public,1,,0,,,,20,,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
79.0,high,4,61,high,high,1,price,5,27.0,price,53.0,25,26,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
80.0,profitable,10,3,profitable,profitable,1,model,5,2.0,model,8.0,33,35,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
81.0,flawless,8,3,flawless,flawless,1,execution,9,1.0,execution,1.0,39,40,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
82.0,high,4,61,high,high,1,,0,,,,47,,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
83.0,real,4,60,real,real,1,profit,6,1.0,profit,2.0,53,54,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
84.0,more,4,201,more,more,1,,0,,,,10,,36,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
85.0,great,5,252,great,"great, successful",2,engine,6,4.0,engine,4.0,19,21,36,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
86.0,real,4,60,real,real,1,support,7,11.0,support,11.0,24,28,36,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
87.0,successful,10,15,successful,"great, successful",2,engine,6,4.0,engine,4.0,30,21,36,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
88.0,blessed,7,1,blessed,"blessed, laudatory",2,lack,4,7.0,lack,7.0,5,8,32,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
89.0,laudatory,9,1,laudatory,"blessed, laudatory",2,lack,4,7.0,lack,7.0,7,8,32,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
90.0,efficient,9,11,efficient,efficient,1,ads,3,1.0,ad,1.0,13,19,32,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
91.0,effective,9,16,effective,effective,1,,0,,,,15,,32,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
92.0,simple,6,26,simple,simple,1,interface,9,1.0,interface,1.0,9,10,35,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0008
93.0,loyal,5,3,loyal,loyal,1,,0,,,,15,,35,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0008
94.0,fewest,6,1,fewest,fewest,1,features,8,2.0,feature,3.0,26,28,35,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0008
95.0,low,3,11,low,low,1,end,3,10.0,end,14.0,30,32,35,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0008
96.0,other,5,320,other,other,1,problem,7,18.0,problem,28.0,2,3,4,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0009
97.0,tough,5,8,tough,tough,1,,0,,,,3,,16,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0010
98.0,most,4,64,most,most,1,users,5,1.0,user,3.0,13,15,34,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0011
99.0,popular,7,16,popular,popular,1,,0,,,,29,,34,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0011
100.0,likely,6,28,likely,"likely, high",2,valuation,9,3.0,valuation,3.0,12,16,38,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
101.0,high,4,61,high,"likely, high",2,valuation,9,3.0,valuation,3.0,15,16,38,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
102.0,huge,4,30,huge,huge,1,chunk,5,1.0,chunk,1.0,22,23,38,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
103.0,next,4,112,next,next,1,engine,6,4.0,engine,4.0,30,37,38,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
104.0,simple,6,26,simple,simple,1,,0,,,,35,,38,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
105.0,whole,5,54,whole,whole,1,lot,3,6.0,lot,8.0,4,5,22,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0001
106.0,Swedish,7,2,swedish,Swedish,1,newspaper,9,1.0,newspaper,2.0,13,14,22,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0001
107.0,best,4,210,best,best,1,,0,,,,15,,20,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0002
108.0,comparable,10,2,comparable,comparable,1,,0,,,,11,,22,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0003
109.0,new,3,252,new,"new, fun",2,contest,7,3.0,contest,4.0,19,21,22,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0003
110.0,fun,3,25,fun,"new, fun",2,contest,7,3.0,contest,4.0,20,21,22,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0003
111.0,international,13,38,international,international,1,contest,7,3.0,contest,4.0,2,3,28,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0005
112.0,Western,7,19,western,Western,1,papers,6,2.0,papers,2.0,18,19,28,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0005
113.0,last,4,145,last,last,1,,0,,,,20,,28,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0005
114.0,long,4,69,long,long,1,fair,4,1.0,fair,1.0,10,11,19,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0009
115.0,more,4,201,more,more,1,,0,,,,12,,24,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0010
116.0,more,4,201,more,more,1,,0,,,,18,,24,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0010
117.0,top,3,26,top,top,1,cartoons,8,3.0,cartoon,3.0,4,6,28,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0011
118.0,cute,4,9,cute,"cute, little",2,stunt,5,2.0,stunt,2.0,2,4,17,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0012
119.0,little,6,125,little,"cute, little",2,stunt,5,2.0,stunt,2.0,3,4,17,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0012
120.0,fanatic,7,3,fanatic,fanatic,1,,0,,,,12,,17,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0012
121.0,precious,8,2,precious,precious,1,cartoons,8,3.0,cartoon,3.0,3,4,19,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0014
122.0,most,4,64,most,most,1,,0,,,,5,,19,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0001
123.0,fair,4,19,fair,fair,1,numbers,7,5.0,number,33.0,6,7,26,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0002
124.0,Iraqi,5,44,iraqi,Iraqi,1,noncombatants,13,1.0,noncombatant,1.0,9,10,26,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0002
125.0,Armed,5,3,armed,Armed,1,clashes,7,2.0,clash,2.0,1,2,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0003
126.0,several,7,60,several,"several, northern, Iraqi",3,cities,6,13.0,city,27.0,6,9,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0003
127.0,northern,8,12,northern,"several, northern, Iraqi",3,cities,6,13.0,city,27.0,7,9,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0003
128.0,Iraqi,5,44,iraqi,"several, northern, Iraqi",3,cities,6,13.0,city,27.0,8,9,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0003
129.0,dead,4,34,dead,dead,1,,0,,,,17,,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0003
130.0,aged,4,4,aged,aged,1,cousin,6,1.0,cousin,2.0,3,4,31,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0007
131.0,Iraqi,5,44,iraqi,Iraqi,1,society,7,6.0,society,6.0,2,3,33,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0008
132.0,responsible,11,20,responsible,responsible,1,,0,,,,8,,33,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0008
133.0,first,5,117,first,first,1,cousins,7,1.0,cousin,2.0,17,18,33,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0008
134.0,weak,4,4,weak,weak,1,,0,,,,26,,33,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0008
135.0,substantial,11,7,substantial,substantial,1,shame,5,1.0,shame,1.0,29,30,33,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0008
136.0,most,4,64,most,most,1,,0,,,,5,,16,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0009
137.0,other,5,320,other,other,1,cities,6,13.0,city,27.0,4,5,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0010
138.0,intrepid,8,1,intrepid,intrepid,1,,0,,,,2,,17,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0011
139.0,more,4,201,more,more,1,,0,,,,9,,17,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0011
140.0,Sunni,5,28,sunni,Sunni,1,boycott,7,4.0,boycott,4.0,12,13,17,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0011
141.0,Sunni,5,28,sunni,Sunni,1,vote,4,4.0,vote,4.0,19,20,34,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0012
142.0,Sunni,5,28,sunni,"Sunni, Arab",2,regions,7,3.0,region,9.0,9,11,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0013
143.0,Arab,4,25,arab,"Sunni, Arab",2,regions,7,3.0,region,9.0,10,11,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0013
144.0,Sunni,5,28,sunni,Sunni,1,participation,13,2.0,participation,2.0,19,20,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0013
145.0,more,4,201,more,more,1,,0,,,,4,,20,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0014
146.0,political,9,43,political,political,1,implications,12,2.0,implication,2.0,7,8,20,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0014
147.0,black,5,29,black,black,1,satire,6,1.0,satire,1.0,3,4,18,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0015
148.0,next,4,112,next,next,1,couple,6,6.0,couple,6.0,20,21,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0016
149.0,hottest,7,1,hottest,hottest,1,item,4,1.0,item,9.0,2,3,13,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0001
150.0,nuclear,7,35,nuclear,nuclear,1,weapons,7,36.0,weapon,47.0,11,12,13,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0001
151.0,better,6,112,better,better,1,ones,4,29.0,one,68.0,14,15,31,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0002
152.0,last,4,145,last,"last, few",2,years,5,61.0,year,120.0,3,5,40,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0003
153.0,few,3,137,few,"last, few",2,years,5,61.0,year,120.0,4,5,40,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0003
154.0,nuclear,7,35,nuclear,nuclear,1,program,7,13.0,program,15.0,13,14,40,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0003
155.0,same,4,152,same,same,1,time,4,156.0,time,191.0,3,4,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0004
156.0,Iranian,7,18,iranian,Iranian,1,Group,5,1.0,group,55.0,7,9,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0004
157.0,covert,6,3,covert,covert,1,program,7,13.0,program,15.0,17,20,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0004
158.0,nuclear,7,35,nuclear,nuclear,1,weapons,7,36.0,weapon,47.0,18,19,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0004
159.0,Arial,5,2,arial,Arial,1,photos,6,5.0,photo,6.0,1,2,19,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0005
160.0,loose,5,4,loose,loose,1,connections,11,3.0,connection,14.0,4,5,19,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0005
161.0,best,4,210,best,best,1,nukes,5,1.0,nuke,1.0,11,12,18,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0006
162.0,new,3,252,new,"new, nuclear",2,weapons,7,36.0,weapon,47.0,9,11,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0007
163.0,nuclear,7,35,nuclear,"new, nuclear",2,weapons,7,36.0,weapon,47.0,10,11,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0007
164.0,other,5,320,other,other,1,countries,9,21.0,country,29.0,13,14,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0007
165.0,high,4,61,high,high,1,,0,,,,5,,26,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0008
166.0,nuclear,7,35,nuclear,nuclear,1,weapons,7,36.0,weapon,47.0,24,25,26,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0008
167.0,equal,5,7,equal,equal,1,,0,,,,15,,16,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0010
168.0,nuclear,7,35,nuclear,nuclear,1,weapons,7,36.0,weapon,47.0,7,8,36,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0011
169.0,nuclear,7,35,nuclear,nuclear,1,weapons,7,36.0,weapon,47.0,27,28,36,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0011
170.0,nuclear,7,35,nuclear,nuclear,1,strength,8,5.0,strength,5.0,34,35,36,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0011
171.0,nuclear,7,35,nuclear,nuclear,1,weapons,7,36.0,weapon,47.0,9,10,24,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0012
172.0,slightest,9,2,slightest,slightest,1,concern,7,7.0,concern,8.0,22,23,24,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0012
173.0,few,3,137,few,few,1,years,5,61.0,year,120.0,25,26,28,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0013
174.0,nuclear,7,35,nuclear,nuclear,1,weapons,7,36.0,weapon,47.0,12,13,14,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0014
175.0,close,5,38,close,close,1,,0,,,,18,,19,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0015
176.0,Arial,5,2,arial,Arial,1,photos,6,5.0,photo,6.0,1,2,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0017
177.0,chemical,8,10,chemical,chemical,1,weapons,7,36.0,weapon,47.0,16,17,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0017
178.0,scary,5,6,scary,scary,1,,0,,,,10,,23,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0018
179.0,most,4,64,most,"most, dual",2,citizens,8,9.0,citizen,10.0,17,24,27,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0003
180.0,dual,4,4,dual,"most, dual",2,citizens,8,9.0,citizen,10.0,22,24,27,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0003
