,adj_word,adj_lemma,adj_id,adj_comb,num_adj,n_word,n_lemma,n_id,sen_len,sen_id
60,scared,scared,22,scared,1,civilians,civilian,23,60,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0009
61,American,american,47,American,1,soldiers,soldier,48,60,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0009
62,brave,brave,53,brave,1,civilians,civilian,56,60,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0009
63,valiant,valiant,55,valiant,1,,,,60,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0009
64,apprehensive,apprehensive,3,apprehensive,1,,,,20,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0010
65,bloody,bloody,18,bloody,1,days,day,19,20,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0010
66,Most,most,1,Most,1,people,people,2,34,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0011
67,last,last,9,"last, few",2,days,day,11,34,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0011
68,few,few,10,"last, few",2,days,day,11,34,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0011
69,normal,normal,23,normal,1,,,,34,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0011
70,governmental,governmental,16,governmental,1,property,property,19,66,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012
71,public,public,18,public,1,,,,66,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012
72,similar,similar,20,similar,1,spree,spree,12,66,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012
73,last,last,27,last,1,,,,66,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012
74,first,first,53,first,1,things,thing,44,66,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012
75,last,last,63,last,1,time,time,64,66,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012
76,several,several,16,several,1,convoys,convoy,17,31,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0013
77,most,most,25,most,1,,,,31,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0013
78,sudden,sudden,6,"sudden, false",2,solidarity,solidarity,9,67,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0014
79,false,false,7,"sudden, false",2,solidarity,solidarity,9,67,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0014
80,Sunni,sunni,12,Sunni,1,clerics,cleric,15,67,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0014
81,Shi'ite,shi'ite,14,Shi'ite,1,,,,67,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0014
82,glad,glad,24,glad,1,,,,67,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0014
83,other,other,29,other,1,throats,throat,31,67,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0014
84,Shia,shia,39,Shia,1,clerics,cleric,40,67,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0014
85,Fallujan,fallujan,43,Fallujan,1,insurgents,insurgents,44,67,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0014
86,few,few,64,few,1,days,day,65,67,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0014
87,old,old,7,"old, new, Arab",3,thing,thing,44,48,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0016
88,new,new,8,"old, new, Arab",3,thing,thing,44,48,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0016
89,Arab,arab,9,"old, new, Arab",3,thing,thing,44,48,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0016
90,top,top,6,top,1,reporter,reporter,7,29,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0018
91,American,american,9,American,1,snipers,sniper,10,37,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0019
92,pregnant,pregnant,15,pregnant,1,women,woman,16,37,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0019
93,unforgivable,unforgivable,6,unforgivable,1,error,error,7,42,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0020
94,Fallujan,fallujan,12,Fallujan,1,militants,militant,13,42,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0020
95,okay,okay,37,okay,1,,,,42,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0020
96,new,new,16,new,1,group,group,17,44,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0021
97,enormous,enormous,26,enormous,1,casualties,casualty,27,44,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0021
98,American,american,35,American,1,soldiers,soldier,36,44,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0021
99,dead,dead,42,dead,1,insurgents,insurgent,43,44,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0021
100,dead,dead,6,dead,1,,,,14,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0022
101,wounded,wounded,9,wounded,1,,,,14,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0022
102,Islamic,islamic,23,Islamic,1,website,website,24,70,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0024
103,dead,dead,40,dead,1,bodies,body,41,70,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0024
104,criminal,criminal,67,criminal,1,actions,action,68,70,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0024
105,whole,whole,35,whole,1,world,world,36,76,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0025
106,dead,dead,50,dead,1,bodies,body,51,76,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0025
107,serious,serious,18,"serious, nuclear",2,disasters,disaster,20,23,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0001
108,nuclear,nuclear,19,"serious, nuclear",2,disasters,disaster,20,23,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0001
109,many,many,15,"many, different",2,versions,version,17,39,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0002
110,different,different,16,"many, different",2,versions,version,17,39,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0002
111,own,own,9,own,1,story,story,10,11,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0004
112,soothing,soothing,4,"soothing, authoritative",2,report,report,19,47,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0007
113,authoritative,authoritative,5,"soothing, authoritative",2,report,report,19,47,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0007
114,scientific,scientific,33,scientific,1,evidence,evidence,34,47,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0007
115,significant,significant,37,"significant, related",2,effects,effect,42,47,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0007
116,related,related,40,"significant, related",2,effects,effect,42,47,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0007
117,most,most,44,most,1,people,people,45,47,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0007
118,widespread,widespread,5,widespread,1,myths,myth,6,42,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0009
119,recent,recent,8,recent,1,times,time,9,42,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0009
120,nuclear,nuclear,14,nuclear,1,reactor,reactor,15,42,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0009
121,many,many,20,many,1,thousands,thousand,21,42,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0009
122,extra,extra,23,extra,1,deaths,death,25,42,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0009
123,public,public,32,public,1,health,health,33,42,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0009
124,Many,many,1,Many,1,people,people,2,38,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0010
125,true,true,8,true,1,,,,38,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0010
126,last,last,3,last,1,decade,decade,4,50,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0012
127,real,real,10,real,1,increase,increase,13,50,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0012
128,significant,significant,12,significant,1,,,,50,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0012
129,certain,certain,20,certain,1,extent,extent,21,50,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0012
130,former,former,33,former,1,,,,50,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0012
131,prestigious,prestigious,2,prestigious,1,,,,33,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0013
132,early,early,12,early,1,report,report,13,33,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0013
133,Russian,russian,22,Russian,1,sources,source,23,33,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0013
134,significant,significant,30,significant,1,effects,effect,32,33,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0013
135,earlier,earlier,23,earlier,1,reports,report,24,25,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0014
136,dramatic,dramatic,2,dramatic,1,increase,increase,3,33,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0016
137,reproductive,reproductive,14,reproductive,1,health,health,15,32,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0017
138,neonatal,neonatal,30,neonatal,1,health,health,31,32,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0017
139,post-accident,post-accident,31,post-accident,1,period,period,32,60,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0018
140,persistent,persistent,36,"persistent, negative",2,tendencies,tendency,38,60,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0018
141,negative,negative,37,"persistent, negative",2,tendencies,tendency,38,60,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0018
142,healthy,healthy,51,healthy,1,children,child,52,60,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0018
143,painful,painful,10,painful,1,,,,24,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0019
144,desirable,desirable,12,desirable,1,,,,19,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0021
145,own,own,10,own,1,conclusions,conclusion,11,12,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0023
146,many,many,5,many,1,viewpoints,viewpoint,6,17,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0024
147,interested,interested,4,interested,1,,,,19,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0051
148,convincing,convincing,18,convincing,1,,,,19,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0051
149,glandular,glandular,12,glandular,1,problems,problem,13,48,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0053
150,primitive,primitive,22,primitive,1,therapy,therapy,20,48,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0053
151,best,best,24,best,1,,,,48,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0053
152,old,old,3,old,1,machines,machine,6,14,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0054
153,several,several,10,several,1,ways,way,11,19,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0057
154,few,few,21,few,1,weeks,week,22,26,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0058
155,little,little,3,little,1,time,time,4,23,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0059
156,wholesome,wholesome,7,"wholesome, uncontaminated",2,food,food,10,23,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0059
157,uncontaminated,uncontaminated,9,"wholesome, uncontaminated",2,food,food,10,23,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0059
158,good,good,12,"good, medical",2,care,care,14,23,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0059
159,medical,medical,13,"good, medical",2,care,care,14,23,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0059
160,several,several,10,several,1,,,,26,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0060
161,many,many,15,many,1,years,year,16,26,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0060
162,little,little,21,little,1,ones,one,22,26,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0060
163,overwhelming,overwhelming,12,overwhelming,1,,,,24,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0061
164,grateful,grateful,18,grateful,1,,,,24,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0061
165,sorry,sorry,3,sorry,1,,,,16,weblog-typepad.com_ripples_20040407125600_ENG_20040407_125600-0063
166,new,new,4,new,1,speeches,speech,11,33,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0001
167,remaining,remaining,27,"remaining, top",2,leadership,leadership,29,33,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0001
168,top,top,28,"remaining, top",2,leadership,leadership,29,33,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0001
169,top,top,18,top,1,commanders,commander,23,40,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0002
170,middle,middle,26,middle,1,managers,manager,27,40,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0002
171,close,close,31,close,1,contact,contact,32,40,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0002
172,Pakistani,pakistani,13,"Pakistani, military",2,president,president,16,42,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0004
173,military,military,14,"Pakistani, military",2,president,president,16,42,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0004
174,substantial,substantial,12,substantial,1,number,number,13,19,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0005
175,military,military,2,military,1,intelligence,intelligence,3,39,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0006
176,major,major,6,major,1,figures,figure,7,39,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0006
177,other,other,21,other,1,operatives,operative,25,39,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0006
178,right,right,13,right,1,center,center,11,36,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0007
179,fundamentalist,fundamentalist,30,"fundamentalist, religious",2,party,party,32,36,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0007
180,religious,religious,31,"fundamentalist, religious",2,party,party,32,36,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0007
181,joint,joint,23,joint,1,government,government,24,34,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0008
182,military,military,11,military,1,coup,coup,12,34,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0009
183,junior,junior,17,junior,1,officers,officer,18,34,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0009
184,political,political,30,political,1,allies,ally,31,34,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0009
185,major,major,8,major,1,base,base,9,20,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0010
186,terrorist,terrorist,11,terrorist,1,operations,operation,12,20,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0010
187,nuclear,nuclear,18,nuclear,1,power,power,19,20,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0010
188,unlikely,unlikely,5,unlikely,1,,,,15,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0011
189,most,most,9,most,1,schemes,scheme,14,15,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0011
190,unlikely,unlikely,5,unlikely,1,,,,18,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0012
191,small,small,8,small,1,group,group,9,18,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0012
192,Arab,arab,11,Arab,1,mujahidin,mujahidin,12,18,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0012
193,Pakistani,pakistani,16,Pakistani,1,government,government,17,18,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0013
194,fair,fair,21,fair,1,election,election,22,39,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0014
195,contentious,contentious,28,contentious,1,,,,39,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0014
196,other,other,3,other,1,,,,37,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0015
197,mainstream,mainstream,11,mainstream,1,,,,37,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0015
198,fair,fair,28,fair,1,elections,election,29,37,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0015
199,secret,secret,35,secret,1,police,police,36,37,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0015
200,other,other,3,other,1,hand,hand,4,23,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0016
201,strong,strong,9,strong,1,,,,23,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0016
202,final,final,17,final,1,settlement,settlement,18,23,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0016
203,Indian,indian,18,Indian,1,state,state,19,26,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0017
204,more,more,6,more,1,terrorism,terrorism,7,21,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0018
205,nuclear,nuclear,14,nuclear,1,war,war,15,21,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0018
206,worst,worst,8,worst,1,elements,element,9,24,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0019
207,iron,iron,17,iron,1,fist,fist,18,24,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0019
208,terrorist,terrorist,2,terrorist,1,organization,organization,3,15,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0021
209,sophisticated,sophisticated,11,sophisticated,1,bombings,bombing,12,15,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0021
210,iron,iron,4,iron,1,fist,fist,5,44,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0023
211,general,general,15,general,1,peace,peace,16,44,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0023
212,effective,effective,27,effective,1,pressure,pressure,28,44,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0023
213,hard,hard,3,hard,1,line,line,4,49,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0024
214,Muslim,muslim,26,Muslim,1,world,world,27,49,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0024
215,willing,willing,43,willing,1,agents,agent,42,49,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0024
216,much,much,9,much,1,,,,24,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0025
217,unnecessary,unnecessary,18,unnecessary,1,provocations,provocation,19,24,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0025
218,genuine,genuine,22,genuine,1,peace,peace,23,24,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0025
219,own,own,13,own,1,tactics,tactic,14,17,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0026
220,hostile,hostile,6,hostile,1,territory,territory,7,22,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0027
221,Iraqi,iraqi,15,Iraqi,1,sympathizers,sympathizer,16,22,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0027
222,Iraqi,iraqi,5,Iraqi,1,sovereignty,sovereignty,6,32,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0028
223,Iraqi,iraqi,10,Iraqi,1,lives,life,11,32,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0028
224,able,able,17,able,1,,,,32,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0028
225,free,free,8,free,1,market,market,10,27,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0031
226,Iraqi,iraqi,25,Iraqi,1,households,household,26,27,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0031
227,provocative,provocative,17,"provocative, local",2,forces,force,21,25,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0033
228,local,local,18,"provocative, local",2,forces,force,21,25,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0033
229,international,international,20,international,1,,,,25,weblog-juancole.com_juancole_20030911085700_ENG_20030911_085700-0033
