,adj_word,adj_word_len,adj_word_count,adj_lemma,mod_adj,mod_adj_len,mod_adj_count,n_word,n_word_len,n_word_count,n_lemma,n_lemma_count,adj_id,n_id,sen_len,sen_id
19,high,4,61,high,,0,,officials,9,20.0,official,27.0,10,12,36,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0006
20,Sunni,5,28,sunni,,0,,heartland,9,2.0,heartland,2.0,15,16,36,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0006
21,bad,3,75,bad,,0,,ways,4,11.0,way,65.0,29,26,36,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0006
22,local,5,50,local,,0,,,0,,,,34,,36,weblog-juancole.com_juancole_20040114085100_ENG_20040114_085100-0006
23,miniscule,9,2,miniscule,,0,,number,6,25.0,number,33.0,20,21,30,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0001
24,concerned,9,18,concerned,,0,,chance,6,7.0,chance,7.0,21,7,27,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0002
25,evil,4,2,evil,,0,,,0,,,,24,,42,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0003
26,eventually,10,1,eventually,,0,,history,7,10.0,history,10.0,32,33,42,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0003
27,profitable,10,3,profitable,,0,,,0,,,,40,,42,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0003
28,freewheeling,12,1,freewheeling,,0,,environment,11,10.0,environment,10.0,6,8,55,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
29,mathematical,12,4,mathematical,,0,,proof,5,3.0,proof,3.0,20,22,55,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
30,own,3,94,own,,0,,,0,,,,47,,55,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
31,good,4,379,good,respectable,11,1.0,idea,4,23.0,idea,35.0,51,54,55,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
32,respectable,11,2,respectable,good,4,40.0,idea,4,23.0,idea,35.0,53,54,55,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0004
33,entire,6,34,entire,,0,,article,7,5.0,article,6.0,3,4,12,weblog-blogspot.com_marketview_20050210075500_ENG_20050210_075500-0005
34,secular,7,2,secular,,0,,nationalism,11,3.0,nationalism,3.0,4,5,30,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0003
35,supple,6,1,supple,,0,,,0,,,,7,,30,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0003
36,rocky,5,1,rocky,,0,,,0,,,,29,,30,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0003
37,Israeli,7,18,israeli,,0,,colonization,12,1.0,colonization,1.0,3,4,37,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0004
38,terrorist,9,18,terrorist,,0,,attacks,7,13.0,attack,19.0,17,18,37,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0004
39,radical,7,13,radical,,0,,groups,6,34.0,group,55.0,20,21,37,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0004
40,such,4,83,such,,0,,,0,,,,22,,37,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0004
41,Palestinian,11,21,palestinian,,0,,leadership,10,8.0,leadership,9.0,8,9,16,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0005
42,major,5,35,major,,0,,leaders,7,24.0,leader,48.0,5,7,16,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0006
43,Palestinian,11,21,palestinian,,0,,leadership,10,8.0,leadership,9.0,6,7,35,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0007
44,radical,7,13,radical,young,5,15.0,,0,,,,21,,35,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0007
45,young,5,42,young,radical,7,6.0,,0,,,,22,,35,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0007
46,local,5,50,local,Palestinian,11,6.0,leaders,7,24.0,leader,48.0,3,5,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
47,Palestinian,11,21,palestinian,local,5,14.0,leaders,7,24.0,leader,48.0,4,5,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
48,strong,6,34,strong,,0,,,0,,,,7,,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
49,enough,6,44,enough,,0,,,0,,,,8,,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
50,Israeli,7,18,israeli,,0,,,0,,,,18,,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
51,Palestinian,11,21,palestinian,,0,,struggle,8,3.0,struggle,3.0,20,21,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
52,best,4,210,best,,0,,posters,7,2.0,poster,5.0,25,27,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
53,young,5,42,young,Muslim,6,5.0,men,3,17.0,man,32.0,33,35,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
54,Muslim,6,12,muslim,young,5,15.0,men,3,17.0,man,32.0,34,35,36,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0008
55,effective,9,16,effective,,0,,weapon,6,11.0,weapon,47.0,8,9,21,weblog-juancole.com_juancole_20041120060600_ENG_20041120_060600-0009
56,wide,4,7,wide,,0,,range,5,11.0,range,11.0,5,6,31,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
57,Iraqi,5,44,iraqi,political,9,19.0,forces,6,19.0,force,34.0,8,10,31,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
58,political,9,43,political,Iraqi,5,11.0,forces,6,19.0,force,34.0,9,10,31,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
59,religious,9,23,religious,,0,,leader,6,21.0,leader,48.0,23,24,31,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0001
60,Muslim,6,12,muslim,,0,,clerics,7,7.0,cleric,13.0,4,5,30,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0002
61,immediate,9,11,immediate,,0,,revenge,7,1.0,revenge,1.0,21,22,30,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0002
62,general,7,22,general,,0,,strike,6,4.0,strike,6.0,15,16,17,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0003
63,dead,4,34,dead,,0,,,0,,,,14,,15,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0004
64,big,3,68,big,,0,,demonstration,13,1.0,demonstration,1.0,7,8,9,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0005
65,Radical,7,1,radical,Shiite,6,10.0,cleric,6,6.0,cleric,13.0,1,3,35,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0006
66,Shiite,6,15,shiite,Radical,7,1.0,cleric,6,6.0,cleric,13.0,2,3,35,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0006
67,criminal,8,7,criminal,,0,,,0,,,,13,,35,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0006
68,interim,7,2,interim,,0,,,0,,,,2,,34,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
69,Israeli,7,18,israeli,,0,,authority,9,8.0,authority,12.0,20,21,34,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0007
70,terrorist,9,18,terrorist,,0,,acts,4,5.0,act,8.0,7,8,25,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0008
71,Many,4,26,many,,0,,,0,,,,5,,33,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0009
72,American,8,73,american,,0,,occupation,10,4.0,occupation,4.0,13,14,33,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0009
73,Palestinian,11,21,palestinian,,0,,people,6,110.0,people,115.0,25,26,33,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0009
74,Israeli,7,18,israeli,,0,,occupation,10,4.0,occupation,4.0,30,31,33,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0009
75,unrelated,9,1,unrelated,,0,,incidents,9,1.0,incident,1.0,4,5,33,weblog-juancole.com_juancole_20040324065800_ENG_20040324_065800-0010
76,first,5,117,first,,0,,whispers,8,1.0,whisper,1.0,4,5,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
77,most,4,64,most,,0,,investors,9,1.0,investor,2.0,11,12,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
78,public,6,34,public,,0,,,0,,,,20,,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
79,high,4,61,high,,0,,price,5,27.0,price,53.0,25,26,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
80,profitable,10,3,profitable,,0,,model,5,2.0,model,8.0,33,35,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
81,flawless,8,3,flawless,,0,,execution,9,1.0,execution,1.0,39,40,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
82,high,4,61,high,,0,,,0,,,,47,,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
83,real,4,60,real,,0,,profit,6,1.0,profit,2.0,53,54,55,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0001
84,more,4,201,more,,0,,,0,,,,10,,36,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
85,great,5,252,great,successful,10,1.0,engine,6,4.0,engine,4.0,19,21,36,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
86,real,4,60,real,,0,,support,7,11.0,support,11.0,24,28,36,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
87,successful,10,15,successful,great,5,22.0,engine,6,4.0,engine,4.0,30,21,36,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0006
88,blessed,7,1,blessed,laudatory,9,1.0,lack,4,7.0,lack,7.0,5,8,32,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
89,laudatory,9,1,laudatory,blessed,7,1.0,lack,4,7.0,lack,7.0,7,8,32,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
90,efficient,9,11,efficient,,0,,ads,3,1.0,ad,1.0,13,19,32,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
91,effective,9,16,effective,,0,,,0,,,,15,,32,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0007
92,simple,6,26,simple,,0,,interface,9,1.0,interface,1.0,9,10,35,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0008
93,loyal,5,3,loyal,,0,,,0,,,,15,,35,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0008
94,fewest,6,1,fewest,,0,,features,8,2.0,feature,3.0,26,28,35,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0008
95,low,3,11,low,,0,,end,3,10.0,end,14.0,30,32,35,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0008
96,other,5,320,other,,0,,problem,7,18.0,problem,28.0,2,3,4,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0009
97,tough,5,8,tough,,0,,,0,,,,3,,16,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0010
98,most,4,64,most,,0,,users,5,1.0,user,3.0,13,15,34,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0011
99,popular,7,16,popular,,0,,,0,,,,29,,34,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0011
100,likely,6,28,likely,high,4,6.0,valuation,9,3.0,valuation,3.0,12,16,38,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
101,high,4,61,high,likely,6,4.0,valuation,9,3.0,valuation,3.0,15,16,38,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
102,huge,4,30,huge,,0,,chunk,5,1.0,chunk,1.0,22,23,38,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
103,next,4,112,next,,0,,engine,6,4.0,engine,4.0,30,37,38,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
104,simple,6,26,simple,,0,,,0,,,,35,,38,weblog-blogspot.com_marketview_20040611132900_ENG_20040611_132900-0012
105,whole,5,54,whole,,0,,lot,3,6.0,lot,8.0,4,5,22,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0001
106,Swedish,7,2,swedish,,0,,newspaper,9,1.0,newspaper,2.0,13,14,22,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0001
107,best,4,210,best,,0,,,0,,,,15,,20,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0002
108,comparable,10,2,comparable,,0,,,0,,,,11,,22,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0003
109,new,3,252,new,fun,3,7.0,contest,7,3.0,contest,4.0,19,21,22,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0003
110,fun,3,25,fun,new,3,48.0,contest,7,3.0,contest,4.0,20,21,22,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0003
111,international,13,38,international,,0,,contest,7,3.0,contest,4.0,2,3,28,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0005
112,Western,7,19,western,,0,,papers,6,2.0,papers,2.0,18,19,28,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0005
113,last,4,145,last,,0,,,0,,,,20,,28,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0005
114,long,4,69,long,,0,,fair,4,1.0,fair,1.0,10,11,19,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0009
115,more,4,201,more,,0,,,0,,,,12,,24,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0010
116,more,4,201,more,,0,,,0,,,,18,,24,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0010
117,top,3,26,top,,0,,cartoons,8,3.0,cartoon,3.0,4,6,28,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0011
118,cute,4,9,cute,little,6,22.0,stunt,5,2.0,stunt,2.0,2,4,17,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0012
119,little,6,125,little,cute,4,1.0,stunt,5,2.0,stunt,2.0,3,4,17,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0012
120,fanatic,7,3,fanatic,,0,,,0,,,,12,,17,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0012
121,precious,8,2,precious,,0,,cartoons,8,3.0,cartoon,3.0,3,4,19,weblog-blogspot.com_aggressivevoicedaily_20060814163400_ENG_20060814_163400-0014
122,most,4,64,most,,0,,,0,,,,5,,19,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0001
123,fair,4,19,fair,,0,,numbers,7,5.0,number,33.0,6,7,26,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0002
124,Iraqi,5,44,iraqi,,0,,noncombatants,13,1.0,noncombatant,1.0,9,10,26,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0002
125,Armed,5,3,armed,,0,,clashes,7,2.0,clash,2.0,1,2,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0003
126,several,7,60,several,Iraqi,5,11.0,cities,6,13.0,city,27.0,6,9,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0003
127,northern,8,12,northern,Iraqi,5,11.0,cities,6,13.0,city,27.0,7,9,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0003
128,Iraqi,5,44,iraqi,northern,8,3.0,cities,6,13.0,city,27.0,8,9,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0003
129,dead,4,34,dead,,0,,,0,,,,17,,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0003
130,aged,4,4,aged,,0,,cousin,6,1.0,cousin,2.0,3,4,31,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0007
131,Iraqi,5,44,iraqi,,0,,society,7,6.0,society,6.0,2,3,33,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0008
132,responsible,11,20,responsible,,0,,,0,,,,8,,33,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0008
133,first,5,117,first,,0,,cousins,7,1.0,cousin,2.0,17,18,33,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0008
134,weak,4,4,weak,,0,,,0,,,,26,,33,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0008
135,substantial,11,7,substantial,,0,,shame,5,1.0,shame,1.0,29,30,33,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0008
136,most,4,64,most,,0,,,0,,,,5,,16,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0009
137,other,5,320,other,,0,,cities,6,13.0,city,27.0,4,5,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0010
138,intrepid,8,1,intrepid,,0,,,0,,,,2,,17,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0011
139,more,4,201,more,,0,,,0,,,,9,,17,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0011
140,Sunni,5,28,sunni,,0,,boycott,7,4.0,boycott,4.0,12,13,17,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0011
141,Sunni,5,28,sunni,,0,,vote,4,4.0,vote,4.0,19,20,34,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0012
142,Sunni,5,28,sunni,Arab,4,14.0,regions,7,3.0,region,9.0,9,11,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0013
143,Arab,4,25,arab,Sunni,5,12.0,regions,7,3.0,region,9.0,10,11,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0013
144,Sunni,5,28,sunni,,0,,participation,13,2.0,participation,2.0,19,20,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0013
145,more,4,201,more,,0,,,0,,,,4,,20,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0014
146,political,9,43,political,,0,,implications,12,2.0,implication,2.0,7,8,20,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0014
147,black,5,29,black,,0,,satire,6,1.0,satire,1.0,3,4,18,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0015
148,next,4,112,next,,0,,couple,6,6.0,couple,6.0,20,21,25,weblog-juancole.com_juancole_20041111060900_ENG_20041111_060900-0016
149,hottest,7,1,hottest,,0,,item,4,1.0,item,9.0,2,3,13,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0001
150,nuclear,7,35,nuclear,,0,,weapons,7,36.0,weapon,47.0,11,12,13,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0001
151,better,6,112,better,,0,,ones,4,29.0,one,68.0,14,15,31,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0002
152,last,4,145,last,few,3,37.0,years,5,61.0,year,120.0,3,5,40,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0003
153,few,3,137,few,last,4,7.0,years,5,61.0,year,120.0,4,5,40,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0003
154,nuclear,7,35,nuclear,,0,,program,7,13.0,program,15.0,13,14,40,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0003
155,same,4,152,same,,0,,time,4,156.0,time,191.0,3,4,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0004
156,Iranian,7,18,iranian,,0,,Group,5,1.0,group,55.0,7,9,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0004
157,covert,6,3,covert,,0,,program,7,13.0,program,15.0,17,20,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0004
158,nuclear,7,35,nuclear,,0,,weapons,7,36.0,weapon,47.0,18,19,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0004
159,Arial,5,2,arial,,0,,photos,6,5.0,photo,6.0,1,2,19,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0005
160,loose,5,4,loose,,0,,connections,11,3.0,connection,14.0,4,5,19,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0005
161,best,4,210,best,,0,,nukes,5,1.0,nuke,1.0,11,12,18,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0006
162,new,3,252,new,nuclear,7,3.0,weapons,7,36.0,weapon,47.0,9,11,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0007
163,nuclear,7,35,nuclear,new,3,48.0,weapons,7,36.0,weapon,47.0,10,11,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0007
164,other,5,320,other,,0,,countries,9,21.0,country,29.0,13,14,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0007
165,high,4,61,high,,0,,,0,,,,5,,26,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0008
166,nuclear,7,35,nuclear,,0,,weapons,7,36.0,weapon,47.0,24,25,26,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0008
167,equal,5,7,equal,,0,,,0,,,,15,,16,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0010
168,nuclear,7,35,nuclear,,0,,weapons,7,36.0,weapon,47.0,7,8,36,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0011
169,nuclear,7,35,nuclear,,0,,weapons,7,36.0,weapon,47.0,27,28,36,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0011
170,nuclear,7,35,nuclear,,0,,strength,8,5.0,strength,5.0,34,35,36,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0011
171,nuclear,7,35,nuclear,,0,,weapons,7,36.0,weapon,47.0,9,10,24,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0012
172,slightest,9,2,slightest,,0,,concern,7,7.0,concern,8.0,22,23,24,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0012
173,few,3,137,few,,0,,years,5,61.0,year,120.0,25,26,28,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0013
174,nuclear,7,35,nuclear,,0,,weapons,7,36.0,weapon,47.0,12,13,14,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0014
175,close,5,38,close,,0,,,0,,,,18,,19,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0015
176,Arial,5,2,arial,,0,,photos,6,5.0,photo,6.0,1,2,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0017
177,chemical,8,10,chemical,,0,,weapons,7,36.0,weapon,47.0,16,17,21,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0017
178,scary,5,6,scary,,0,,,0,,,,10,,23,weblog-blogspot.com_thelameduck_20041119192207_ENG_20041119_192207-0018
179,most,4,64,most,dual,4,2.0,citizens,8,9.0,citizen,10.0,17,24,27,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0003
180,dual,4,4,dual,most,4,9.0,citizens,8,9.0,citizen,10.0,22,24,27,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0003
181,normal,6,19,normal,,0,,procedure,9,2.0,procedure,4.0,4,5,21,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0004
182,mythical,8,2,mythical,Arab,4,14.0,street,6,4.0,street,4.0,5,8,13,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0006
183,Arab,4,25,arab,mythical,8,1.0,street,6,4.0,street,4.0,7,8,13,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0006
184,military,8,51,military,,0,,violence,8,3.0,violence,3.0,16,17,43,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0007
185,likely,6,28,likely,,0,,,0,,,,19,,43,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0007
186,last,4,145,last,,0,,years,5,61.0,year,120.0,39,41,43,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0007
187,other,5,320,other,,0,,words,5,10.0,word,16.0,2,3,22,weblog-blogspot.com_alaindewitt_20060827093500_ENG_20060827_093500-0008
