,n_word,n_id,n_type,det,num,clf,adj,nmod,sen_len,sen_id
42,公司,16,nmod,,,[],[],[],22,dev-s6
43,损失,17,nsubj,,,[],[],['公司'],22,dev-s6
44,元,21,obj,,四百五十万,[],[],['美'],22,dev-s6
45,经济,3,nsubj,,,[],[],"['的', '努克']",27,dev-s7
46,渔业,5,nsubj,,,[],[],[],27,dev-s7
47,年代,10,nmod:tmod,,1960,[],[],[],27,dev-s7
48,鳕鱼,12,compound,,,[],[],[],27,dev-s7
49,现,17,nmod:tmod,,,[],[],[],27,dev-s7
50,目前,21,nmod:tmod,,,[],[],[],27,dev-s7
51,螃蟹,24,obj,,,[],[],[],27,dev-s7
52,大比目鱼,26,conj,,,[],[],[],27,dev-s7
53,月,2,clf,,五,[],[],[],16,dev-s9
54,日,4,nmod:tmod,,二十一,"['五', '月']",[],[],16,dev-s9
55,贝勒,15,obj,,,[],[],"['科尔沁', '部', '奥巴']",16,dev-s9
56,时间,5,obj,,许多,[],[],[],18,dev-s10
57,地质,9,nmod,,,[],[],[],18,dev-s10
58,博物,12,compound,,,[],[],[],18,dev-s10
59,中,14,acl,,,[],[],[],18,dev-s10
60,恐龙,16,nmod,,,[],[],[],18,dev-s10
61,化石,17,obj,,,[],[],"['加拿大', '地质', '局', '博物', '中', '的', '馆', '恐龙']",18,dev-s10
62,年,2,nmod:tmod,,1355,[],[],[],16,dev-s11
63,帝国,8,nmod,,,[],['神圣'],['罗马'],16,dev-s11
64,皇帝,9,nsubj,,,[],[],"['神圣', '罗马', '帝国']",16,dev-s11
65,公主,4,compound,,,[],[],[],17,dev-s12
66,个,12,clf,,一,[],[],[],17,dev-s12
67,范围,13,obj,,,"['一', '个']",[],[],17,dev-s12
68,名,6,clf,,数,[],[],[],35,dev-s13
69,人气,8,nmod,,,[],[],[],35,dev-s13
70,博客,9,nsubj,,,"['数', '名']",[],"['香港', '人气']",35,dev-s13
71,动画,12,nmod,,,[],[],[],35,dev-s13
72,传说,15,nmod,,,[],['勇敢'],[],35,dev-s13
73,森林,18,appos,,,[],['幻险'],"['勇敢', '之', '传说']",35,dev-s13
74,配音,20,nmod,,,[],[],[],35,dev-s13
75,工作,21,obj,,,[],[],"['森林', '动画', '配音']",35,dev-s13
76,明星,27,obl,其他,,[],[],[],35,dev-s13
77,专业,29,nmod,,,[],[],[],35,dev-s13
78,动画,34,obj,,,[],[],[],35,dev-s13
79,年,2,clf,,1594,[],[],[],29,dev-s14
80,秋,3,nmod:tmod,,,"['1594', '年']",[],[],29,dev-s14
81,盟约,11,obj,,,[],[],[],29,dev-s14
82,帝国,18,obj,,,[],[],['奥斯曼'],29,dev-s14
83,帝国,23,nsubj,,,[],['神圣'],['罗马'],29,dev-s14
84,年,27,clf,,十三,[],[],[],29,dev-s14
85,战争,28,obj,,,"['十三', '年']",[],[],29,dev-s14
86,平原,2,obj,,,[],[],[],24,dev-s15
87,塔,4,conj,,,[],[],[],24,dev-s15
88,洞窟,6,conj,,,[],[],[],24,dev-s15
89,海,8,conj,,,[],[],[],24,dev-s15
90,迷宫,10,conj,,,[],[],[],24,dev-s15
91,中,11,acl,,,[],[],[],24,dev-s15
92,玩家,15,nsubj,,,[],[],[],24,dev-s15
93,敌人,22,obl,,,[],[],[],24,dev-s15
94,游戏,7,nsubj,,,[],[],[],24,dev-s16
95,勇者,8,nsubj,,,[],[],[],24,dev-s17
96,恶龙,10,obj,,,[],[],[],24,dev-s17
97,系列,19,nmod,,,[],[],[],24,dev-s17
98,官方,20,nmod,,,[],[],[],24,dev-s17
99,平台,3,nmod,,,[],[],"['日本', 'FC']",14,dev-s18
100,作,7,nsubj,前,两,[],[],"['日本', 'FC', '的', '平台']",14,dev-s18
101,密码,9,nmod,,,[],[],[],14,dev-s18
102,记忆,10,nmod,,,[],[],[],14,dev-s18
103,系统,11,obl,,,[],[],"['密码', '记忆']",14,dev-s18
104,进度,13,obj,,,[],[],[],14,dev-s18
105,失事,3,nmod,,,[],[],[],27,dev-s19
106,原因,4,nsubj,这次,,[],[],['失事'],27,dev-s19
107,最后,14,nmod:tmod,,,[],[],[],27,dev-s19
108,个,19,clf,,一,[],[],[],27,dev-s19
109,事故,24,nmod,,,[],[],[],27,dev-s19
110,调查,25,nmod,,,[],[],[],27,dev-s19
111,报告,26,obj,,,"['一', '个']",['具体'],"['事故', '调查']",27,dev-s19
112,年,1,advmod,,,[],[],[],34,dev-s20
113,年,4,nmod:tmod,,一,[],[],[],34,dev-s20
114,警察,11,nsubj,,,[],[],[],34,dev-s20
115,暴徒,13,conj,,,[],[],[],34,dev-s20
116,白衣,16,nmod,,,[],[],[],34,dev-s20
117,女士,17,compound,,,[],[],[],34,dev-s20
118,周日,24,nmod,,,[],[],[],34,dev-s20
119,步行,25,obj,,,[],['无声'],"['她们', '周日']",34,dev-s20
120,良心,32,compound,,,[],[],[],34,dev-s20
121,个,2,clf,,一,[],[],[],27,dev-s21
122,家庭,3,nmod,,,"['一', '个']",[],[],27,dev-s21
123,收入,4,nmod,,,[],[],"['个', '家庭']",27,dev-s21
124,中间,6,compound,,,[],[],[],27,dev-s21
125,家庭,12,nmod,,,[],[],[],27,dev-s21
126,收入,13,nmod,,,[],[],['家庭'],27,dev-s21
127,中间,15,compound,,,[],[],[],27,dev-s21
128,国民,21,nmod,,,[],[],[],27,dev-s21
129,收入,23,nsubj,,,[],['平均'],['国民'],27,dev-s21
130,湖泊,6,advcl,,,[],[],"['的', '印度尼西亚']",48,dev-s22
131,北部,12,obj,,,[],[],"['苏门答腊', '岛']",48,dev-s22
132,行政,17,compound,,,[],[],[],48,dev-s22
133,公里,24,advmod,,17,[],[],[],48,dev-s22
134,公里,28,advmod,,3,[],[],[],48,dev-s22
135,面积,30,nsubj,,,[],[],[],48,dev-s22
136,平方公里,32,parataxis,,70,[],[],[],48,dev-s22
137,海拔,34,nmod,,,[],[],[],48,dev-s22
138,高度,35,nsubj,,,[],[],['海拔'],48,dev-s22
139,米,37,parataxis,,"1,100",[],[],[],48,dev-s22
140,水深,40,nsubj,,,[],['最大'],[],48,dev-s22
141,米,42,parataxis,,80,[],[],[],48,dev-s22
142,立方米,47,parataxis,,25亿,[],[],[],48,dev-s22
143,面积,2,nsubj,,,[],[],[],20,dev-s23
144,平方公里,4,root,,24.44,[],[],[],20,dev-s23
145,人口,6,nsubj,,,[],[],[],20,dev-s23
146,人,8,parataxis,,3108,[],[],[],20,dev-s23
147,人口,10,nmod,,,[],[],[],20,dev-s23
148,密度,11,nsubj,,,[],[],['人口'],20,dev-s23
149,人,13,parataxis,,127.2,[],[],[],20,dev-s23
150,平方公里,15,acl,,,[],[],[],20,dev-s23
151,年,18,parataxis,,2009,[],[],[],20,dev-s23
152,铁路,3,nmod,,,[],[],[],10,dev-s24
153,全线,4,nsubj,,,[],[],"['包', '白', '铁路']",10,dev-s24
154,车站,7,obj,,,[],[],[],10,dev-s24
155,座,9,acl,,19,[],[],[],10,dev-s24
156,区,7,nsubj,,第三,[],[],[],19,dev-s25
157,卫冕,10,nmod,,,[],[],[],19,dev-s25
158,冠军,11,obj,,,[],[],['卫冕'],19,dev-s25
159,号,14,nmod,,6,[],[],[],19,dev-s25
160,种子,15,conj,,,[],[],"['6', '号']",19,dev-s25
161,学校,3,nmod,,,[],[],[],40,dev-s26
162,现代,5,nmod,,,[],[],[],40,dev-s26
163,建筑,6,compound,,,[],[],[],40,dev-s26
164,影响,10,obl,,,[],['深远'],"['包浩斯', '学校']",40,dev-s26
165,今日,12,nmod,,,[],[],[],40,dev-s26
166,学校,20,obl,,,[],[],[],40,dev-s26
167,建筑,26,nmod,,,[],[],[],40,dev-s26
168,流派,27,advcl,,,[],[],"['其', '建筑']",40,dev-s26
169,风格,29,nmod,,,[],[],[],40,dev-s26
170,统称,31,conj,,,[],[],"['的', '风格']",40,dev-s26
171,建筑,34,nmod,,,[],[],[],40,dev-s26
172,造型,35,obl,,,[],[],['建筑'],40,dev-s26
173,机能,38,conj,,,[],['实用'],[],40,dev-s26
174,年,2,nmod:tmod,,1956,[],[],[],28,dev-s27
175,改革,8,nmod,,,[],[],[],28,dev-s27
176,措施,9,nsubj,,许多,[],[],['改革'],28,dev-s27
177,期间,13,obl,,,[],[],[],28,dev-s27
178,外交,20,obl,,,[],[],[],28,dev-s27
179,改变,27,obj,任何,,[],['大'],[],28,dev-s27
180,化外,1,nmod,,,[],[],[],16,dev-s28
181,地,3,nsubj,,,[],[],"['之', '化外']",16,dev-s28
182,文明,5,nmod,,,[],[],[],16,dev-s28
183,地区,6,nmod,,,[],[],['文明'],16,dev-s28
184,以外,7,acl,,,[],[],[],16,dev-s28
185,地方,9,appos,,,[],[],"['文明', '以外', '的', '地区']",16,dev-s28
186,地方,15,obj,,,[],[],[],16,dev-s28
187,地下,1,nmod,,,[],[],[],32,dev-s29
188,层,3,nmod,,一,[],[],['地下'],32,dev-s29
189,南北,4,nsubj,,,[],[],"['地下', '一', '层']",32,dev-s29
190,侧,6,appos,,两,[],[],[],32,dev-s29
191,公交,8,compound,,,[],[],[],32,dev-s29
192,地下,11,nmod,,,[],[],[],32,dev-s29
193,层,13,nsubj,,二,[],[],['地下'],32,dev-s29
194,地铁,15,nmod,,,[],[],[],32,dev-s29
195,号,17,compound,,4,[],[],[],32,dev-s29
196,地下,20,nmod,,,[],[],[],32,dev-s29
197,层,22,nsubj,,三,[],[],['地下'],32,dev-s29
198,地铁,28,nmod,,,[],[],[],32,dev-s29
199,号,30,compound,,14,[],[],[],32,dev-s29
200,前身,3,nsubj,,,[],[],[],31,dev-s30
201,年,6,nmod,,1901,[],[],[],31,dev-s30
202,年,14,obl,,1957,[],[],[],31,dev-s30
203,年,17,conj,,1958,[],[],[],31,dev-s30
204,辅助,20,nmod,,,[],[],[],31,dev-s30
205,客运,21,compound,,,[],[],[],31,dev-s30
206,年,25,nmod:tmod,,2006,[],[],[],31,dev-s30
207,年,28,conj,,2008,[],[],[],31,dev-s30
208,当时,1,nmod:tmod,,,[],[],[],32,dev-s31
209,队,4,nmod,,二,[],[],['国安'],32,dev-s31
210,球员,7,nsubj,,,[],['年轻'],"['国安', '二', '的', '队']",32,dev-s31
211,队,13,nmod,,一,[],[],[],32,dev-s31
212,水平,15,obj,,,[],[],"['一', '的', '队']",32,dev-s31
213,联赛,19,nsubj,,,[],[],[],32,dev-s31
214,线,24,compound,,一,[],[],[],32,dev-s31
215,注册,27,nmod,,,[],[],[],32,dev-s31
216,队员,28,nsubj,,,[],[],"['国安', '线', '的', '队', '注册']",32,dev-s31
217,名,31,obj,,十八,[],[],[],32,dev-s31
218,更新,1,nmod,,,[],[],[],70,dev-s32
219,日期,2,root,,,[],[],['更新'],70,dev-s32
220,年,5,clf,,2013,[],[],[],70,dev-s32
221,月,7,clf,,8,[],[],[],70,dev-s32
222,日,9,appos,,26,"['2013', '年', '8', '月']",[],[],70,dev-s32
223,赛季,11,nmod:tmod,本,,[],[],[],70,dev-s32
224,轮,18,obj,,一,[],[],[],70,dev-s32
225,联赛,20,nmod,,,[],[],[],70,dev-s32
226,季军,21,obj,,,[],[],['联赛'],70,dev-s32
227,联赛,27,nsubj,,,[],[],['中超'],70,dev-s32
228,个,30,clf,,3.5,[],[],[],70,dev-s32
229,联赛,32,nmod,,,[],[],[],70,dev-s32
230,小组,33,compound,,,[],[],[],70,dev-s32
231,席位,38,obj,,,"['3.5', '个']",[],"['亚冠', '联赛', '小组', '的', '赛']",70,dev-s32
232,赛季,46,nmod,下,,[],[],[],70,dev-s32
233,联赛,48,nmod,,,[],[],"['下', '赛季', '亚冠']",70,dev-s32
234,席位,50,obj,,,[],[],"['赛季', '亚冠', '的', '联赛']",70,dev-s32
235,赛事,58,nsubj,,,[],[],"['中国', '足协', '杯']",70,dev-s32
236,小组,68,compound,,,[],[],[],70,dev-s32
237,年,2,nmod:tmod,,2008,[],[],[],9,dev-s33
238,工程,5,nsubj,该,,[],[],[],9,dev-s33
239,外城,2,nsubj,,,[],[],['北京'],23,dev-s34
240,门,6,obj,,七,[],[],[],23,dev-s34
241,南面,8,conj,,,[],[],[],23,dev-s34
242,门,10,orphan,,三,[],[],[],23,dev-s34
243,东西,12,conj,,,[],[],[],23,dev-s34
244,门,15,orphan,各,一,[],[],[],23,dev-s34
245,此外,17,advmod,,,[],[],[],23,dev-s34
246,座,21,clf,,两,[],[],[],23,dev-s34
247,便门,22,obj,,,"['两', '座']",[],[],23,dev-s34
248,末年,4,nmod:tmod,,,[],[],['元朝'],40,dev-s35
249,当时,9,nmod:tmod,,,[],[],[],40,dev-s35
250,正中,14,nmod,,,[],[],[],40,dev-s35
251,城门,15,ccomp,,,[],[],"['东垣', '正中']",40,dev-s35
252,方形,23,parataxis,,,[],[],"['因', '此']",40,dev-s35
253,南北,25,nsubj,,,[],[],[],40,dev-s35
254,米,28,advmod,,68,[],[],[],40,dev-s35
255,东西,30,nsubj,,,[],[],[],40,dev-s35
256,米,33,advmod,,62,[],[],[],40,dev-s35
257,南面,35,nsubj,,,[],[],[],40,dev-s35
258,闸楼,37,obj,,,[],[],[],40,dev-s35
259,券门,39,conj,,,[],[],[],40,dev-s35
260,该部,1,nsubj,,,[],[],[],12,dev-s36
261,大学,5,nmod,,,[],[],[],12,dev-s36
262,医学,6,compound,,,[],[],[],12,dev-s36
263,楼,11,obj,,7,[],[],"['北京', '大学', '医学', '部', '逸夫', '楼']",12,dev-s36
264,年,2,clf,,2010,[],[],[],29,dev-s37
265,月,4,clf,,1,[],[],[],29,dev-s37
266,日,6,nmod:tmod,,7,"['2010', '年', '1', '月']",[],[],29,dev-s37
267,教育,10,nmod,,,[],[],[],29,dev-s37
268,委员,11,compound,,,[],[],[],29,dev-s37
269,批复,15,obj,,,[],[],[],29,dev-s37
270,该校,18,nsubj,,,[],[],[],29,dev-s37
271,体制,20,nmod,,,[],[],[],29,dev-s37
272,改革,21,nmod,,,[],[],[],29,dev-s37
273,试点,22,obj,,,[],[],"['体制', '改革']",29,dev-s37
274,公,25,nsubj,,,[],[],[],29,dev-s37
275,行列,28,obj,,,[],[],"['立', '校']",29,dev-s37
276,学校,2,nmod,,,[],[],[],16,dev-s38
277,伙食,4,nsubj,,,[],[],"['的', '学校']",16,dev-s38
278,住宿,6,nmod,,,[],[],[],16,dev-s38
279,条件,7,conj,,,[],[],['住宿'],16,dev-s38
280,年,10,nmod:tmod,,多,[],[],[],16,dev-s38
281,诟病,15,obj,,,[],[],"['在校', '的', '生']",16,dev-s38
282,支线,1,nsubj,,,[],[],[],24,dev-s39
283,环岛,7,obj,,,[],[],['杨闸'],24,dev-s39
284,东,11,obl,,,[],[],[],24,dev-s39
285,高速,17,obj,,,[],[],"['京', '哈']",24,dev-s39
286,花园,22,nmod,,,[],[],[],24,dev-s39
287,小区,23,obj,,,[],[],"['通州', '武夷', '花园']",24,dev-s39
288,车站,1,nsubj,,,[],[],[],25,dev-s40
289,轨道,8,nmod,,,[],[],[],25,dev-s40
290,交通,9,obl,,,[],[],['轨道'],25,dev-s40
291,管理,12,nmod,,,[],[],[],25,dev-s40
292,方法,13,obj,,,[],[],['管理'],25,dev-s40
293,号,17,compound,,2,[],[],[],25,dev-s40
294,全线,21,nmod,,,[],[],[],25,dev-s40
295,路权,24,obj,,,[],['专用'],"['的', '全线']",25,dev-s40
296,年,2,nmod:tmod,,1978,[],[],[],69,dev-s41
297,学院,4,nsubj,,,[],[],[],69,dev-s41
298,本科,7,compound,,,[],[],[],69,dev-s41
299,学生,12,nsubj,该届,,[],[],[],69,dev-s41
300,年,15,obl,,1982,[],[],[],69,dev-s41
301,电影,19,nmod,,,[],[],[],69,dev-s41
302,学院,20,nmod,,,[],[],"['北京', '电影']",69,dev-s41
303,学士,24,nmod,,,[],[],[],69,dev-s41
304,学位,25,obj,,,[],[],['学士'],69,dev-s41
305,以后,32,nmod,,,[],[],['这'],69,dev-s41
306,年,35,obl,,三十多,[],[],"['这', '的', '以后']",69,dev-s41
307,专业,40,nmod,各个,,[],[],[],69,dev-s41
308,学生,43,nsubj,,众多,[],[],"['培养', '各个', '的', '专业']",69,dev-s41
309,世界,50,conj,,,[],[],[],69,dev-s41
310,电影,53,compound,,,[],['著名'],[],69,dev-s41
311,电影,58,nmod,,,[],[],['中国'],69,dev-s41
312,世界,61,nmod,全,,[],[],[],69,dev-s41
313,影响,63,obl,,,[],[],"['中国', '电影']",69,dev-s41
314,贡献,68,obj,,,[],['重要'],[],69,dev-s41
315,年,2,nmod:tmod,,2009,[],[],[],19,dev-s42
316,报考,3,nmod,,,[],[],[],19,dev-s42
317,人数,4,nsubj,,,[],[],['报考'],19,dev-s42
318,人次,7,obj,,1.3万余,[],[],[],19,dev-s42
319,计划,9,nmod,,,[],[],[],19,dev-s42
320,招生,10,nsubj,,,[],[],['计划'],19,dev-s42
321,人,13,obj,,440,[],[],[],19,dev-s42
322,当时,4,nmod,,,[],[],[],26,dev-s43
323,大陆,6,nmod,,,[],[],[],26,dev-s43
324,规模,7,nsubj,,,[],[],[],26,dev-s43
325,设备,10,nsubj,,,[],[],[],26,dev-s43
326,铁路,14,nmod,,,[],[],[],26,dev-s43
327,车站,15,acl,,,[],['最大'],"['当时', '中国', '大陆', '铁路']",26,dev-s43
328,个,19,nmod,,第一,[],[],[],26,dev-s43
329,现代,20,compound,,,[],[],[],26,dev-s43
330,大型,22,nmod,,,[],[],[],26,dev-s43
331,铁路,23,nmod,,,[],[],[],26,dev-s43
332,客运,24,compound,,,[],[],[],26,dev-s43
333,中央,3,nmod,,,[],[],[],33,dev-s44
334,空档,4,nmod,,,[],[],['中央'],33,dev-s44
335,视觉,6,nmod,,,[],[],[],33,dev-s44
336,效果,7,obj,,,[],[],"['中央', '的', '空档', '视觉']",33,dev-s44
337,传统,12,nmod,,,[],[],[],33,dev-s44
338,城门,13,compound,,,[],[],[],33,dev-s44
339,设计,16,obj,,,[],[],"['中国', '传统', '城门', '的', '楼']",33,dev-s44
340,个,21,clf,,一,[],[],[],33,dev-s44
341,米,24,advmod,,45,[],[],[],33,dev-s44
342,米,28,advmod,,50,[],[],[],33,dev-s44
343,门洞,31,obj,,,"['一', '个']",['宽'],[],33,dev-s44
344,马车,5,obj,,,[],[],[],17,dev-s45
345,灾区,7,obj,,,[],[],[],17,dev-s45
346,灾童,10,obj,,,[],[],[],17,dev-s45
347,人数,13,nsubj,,,[],[],[],17,dev-s45
348,名,16,parataxis,,800,[],[],[],17,dev-s45
349,北,2,nmod,,,[],[],[],37,dev-s46
350,气旋,7,nmod,,,[],[],[],37,dev-s46
351,风暴,8,nsubj,,,[],[],['气旋'],37,dev-s46
352,气象,12,compound,,,[],[],[],37,dev-s46
353,台风,16,nmod,,,[],[],[],37,dev-s46
354,中心,17,nsubj,,,[],[],"['印度', '气象', '部', '新', '德里', '台风']",37,dev-s46
355,地区,23,obj,该,,[],[],[],37,dev-s46
356,热带,25,nmod,,,[],[],[],37,dev-s46
357,气压,27,nmod,,,[],[],['热带'],37,dev-s46
358,编号,29,nsubj,,,[],[],"['在', '热带', '低', '的', '气压']",37,dev-s46
359,字母,35,obl,,,[],[],"['/', 'B', 'A']",37,dev-s46
360,气旋,2,nmod,,,[],[],[],17,dev-s47
361,风暴,5,nsubj,,,[],[],"['此', '气旋', '之', '季']",17,dev-s47
362,月,11,nmod,,4,[],[],[],17,dev-s47
363,月,14,conj,,12,[],[],[],17,dev-s47
364,期间,15,obl,,,[],[],"['4', '月', '月']",17,dev-s47
365,真相,4,obj,,,[],[],[],17,dev-s48
366,对决,13,obl,,,[],[],"['拳四郎', '的', '法鲁克']",17,dev-s48
367,解药,2,nmod,,,[],[],[],23,dev-s49
368,出现,4,nsubj,,,[],[],"['的', '解药']",23,dev-s49
369,公众,9,obl,,,[],[],[],23,dev-s49
370,威望,13,obj,,,[],[],[],23,dev-s49
371,北方,17,nmod,,,[],[],[],23,dev-s49
372,火,19,obl:patient,,,[],[],"['之', '北方']",23,dev-s49
373,权力,21,nmod,,,[],[],[],23,dev-s49
374,宝座,22,obj,,,[],[],['权力'],23,dev-s49
375,股,2,nmod,那,,[],[],[],25,dev-s50
376,狂气,4,obj,,,[],[],[],25,dev-s50
377,演技,6,compound,,,[],[],[],25,dev-s50
378,演员,12,obj,,,[],[],[],25,dev-s50
379,狂气,14,obj,,,[],[],[],25,dev-s50
380,演技,20,obj,,,[],[],[],25,dev-s50
381,狂气,24,root,,,[],[],[],25,dev-s50
382,土著,2,nmod,,,[],[],[],23,dev-s51
383,民族,3,nsubj,,,[],[],"['北极', '土著']",23,dev-s51
384,外界,6,nmod,,,[],[],[],23,dev-s51
385,现代,11,obl,,,[],[],[],23,dev-s51
386,地区,15,nmod,其他,,[],[],[],23,dev-s51
387,交流,17,nsubj,,,[],[],[],23,dev-s51
388,事故,4,nsubj,此等,,[],[],[],34,dev-s52
389,飞机,7,nmod,,,[],[],[],34,dev-s52
390,装置,10,nsubj,所有,,[],[],"['的', '飞机']",34,dev-s52
391,辅助,16,nmod,,,[],[],[],34,dev-s52
392,动力,17,nmod,,,[],[],[],34,dev-s52
393,装置,18,conj,,,[],[],"['辅助', '动力']",34,dev-s52
394,电力,20,conj,,,[],[],[],34,dev-s52
395,液压,22,nmod,,,[],[],[],34,dev-s52
396,系统,23,conj,,,[],[],['液压'],34,dev-s52
397,等,24,acl,,,[],[],[],34,dev-s52
398,维修,33,obj,,,[],['严格'],"['防护', '性']",34,dev-s52
399,地区,3,nmod,,,[],[],['北极'],60,dev-s53
400,盛行,5,nmod,,,[],[],[],60,dev-s53
401,西风,6,csubj,,,[],['较弱'],"['北极', '的', '地区', '盛行']",60,dev-s53
402,强度,8,nsubj,,,[],[],[],60,dev-s53
403,航线,14,nsubj,,,[],[],['北极'],60,dev-s53
404,大圆,17,nmod,,,[],[],[],60,dev-s53
405,航线,18,obj,,,[],[],['大圆'],60,dev-s53
406,航程,20,nsubj,,,[],[],[],60,dev-s53
407,航班,38,nsubj,,,[],['多'],[],60,dev-s53
408,航线,44,obj,,,[],[],['北极'],60,dev-s53
409,时间,47,obj,,,[],[],[],60,dev-s53
410,余,49,advmod,,,[],[],[],60,dev-s53
411,燃料,54,obj,,,[],[],[],60,dev-s53
412,负载,59,obj,,,[],['有效'],[],60,dev-s53
413,岁,2,nmod,,五,[],[],[],57,dev-s54
414,雌性,5,nsubj,,,[],[],[],57,dev-s54
415,米,8,advmod,,2.5,[],[],[],57,dev-s54
416,公斤,12,conj,,300,[],[],[],57,dev-s54
417,成长,14,nmod,,,[],[],[],57,dev-s54
418,速度,15,nsubj,,,[],[],['成长'],57,dev-s54
419,雄性,20,nsubj,,,[],[],[],57,dev-s54
420,岁,26,nmod:tmod,,五,[],[],[],57,dev-s54
421,性,27,nmod,,,[],[],[],57,dev-s54
422,发育,28,nsubj,,,[],[],['性'],57,dev-s54
423,时,37,obl,那,,[],[],[],57,dev-s54
424,m,40,obj,,3.33,[],[],[],57,dev-s54
425,胸,44,nsubj,,,[],[],[],57,dev-s54
426,颈,46,conj,,,[],[],[],57,dev-s54
427,上身,48,conj,,,[],[],[],57,dev-s54
428,重量,51,nsubj,,,[],[],[],57,dev-s54
429,公斤,56,obj,,1100,[],[],[],57,dev-s54
430,校园,3,nmod,,,[],[],[],36,dev-s55
431,北区,4,obj,,,[],[],['校园'],36,dev-s55
432,文化,7,nmod,,,[],[],[],36,dev-s55
433,遗产,8,nsubj,,,[],['重要'],['文化'],36,dev-s55
434,农,10,nmod,,,[],[],[],36,dev-s55
435,学校,11,nmod,,,[],[],[],36,dev-s55
436,农场,13,appos,,第二,[],[],"['札幌', '农', '学校']",36,dev-s55
437,博士,18,nmod,,,[],[],['克拉克'],36,dev-s55
438,构想,20,obl,,,[],[],"['克拉克', '的', '博士']",36,dev-s55
439,模范,24,nmod,,,[],[],[],36,dev-s55
440,家畜,25,nmod,,,[],[],[],36,dev-s55
441,时期,32,nmod,,,[],[],['明治'],36,dev-s55
442,市内,1,nsubj,,,[],[],[],17,dev-s56
443,后来,2,nmod:tmod,,,[],[],[],17,dev-s56
444,有轨,6,nmod,,,[],[],[],17,dev-s56
445,电车,7,nmod,,,[],[],[],17,dev-s56
446,系统,8,obj,,,[],[],"['有轨', '电车']",17,dev-s56
447,地段,10,nsubj:pass,,,[],[],[],17,dev-s56
448,体育,3,compound,,,[],[],[],35,dev-s57
449,占地,7,nmod,,,[],[],[],35,dev-s57
450,面积,8,nsubj,,,[],[],['占地'],35,dev-s57
451,平方米,11,parataxis,,20万,[],[],[],35,dev-s57
452,建筑,13,nmod,,,[],[],[],35,dev-s57
453,面积,14,nsubj,,,[],[],['建筑'],35,dev-s57
454,平方米,17,conj,,4.5万,[],[],[],35,dev-s57
455,体育,19,compound,,,[],[],[],35,dev-s57
456,看台,22,nsubj,,,[],[],"['体育', '的', '场']",35,dev-s57
457,级,25,clf,,18,[],[],[],35,dev-s57
458,台阶,26,obj,,,"['18', '级']",[],[],35,dev-s57
459,马蹄,29,compound,,,[],[],[],35,dev-s57
460,水泥,32,nmod,,,[],[],[],35,dev-s57
461,钢筋,33,nmod,,,[],[],[],35,dev-s57
