,n_word,n_lemma,n_id,det,det_lemma,num,num_lemma,adj,num_adj,ncomp,ncomp_lemma,num_ncomp,nmod,nmod_lemma,num_nmod,sen_len,sen_id
26,progress,progress,9,,,,,,,,,,,,,35,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0009
27,terror,terror,15,,,,,,,,,,,,,35,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0009
28,cells,cell,16,,,,,,,terror,terror,1,,,,35,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0009
29,news,news,23,the,the,,,,,,,,,,,35,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0009
30,government,government,32,the,the,,,Iraqi,1,,,,,,,35,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0009
31,officers,officer,9,the,the,,,,,,,,,,,20,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0010
32,side,side,17,the,the,,,other,1,,,,,,,20,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0010
33,Guerrillas,guerrilla,5,,,,,,,,,,,,,19,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0011
34,member,member,8,a,a,,,,,,,,,,,19,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0011
35,police,police,2,,,,,,,,,,,,,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0012
36,commander,commander,3,The,The,,,,,police,police,1,,,,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0012
37,bombings,bombing,9,,,,,,,,,,,,,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0012
38,percent,percent,13,,,80,80,,,,,,,,,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0012
39,jump,jump,23,a,a,,,big,1,,,,number,number,1,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0012
40,number,number,26,the,the,,,,,,,,kidnappings,kidnapping,1,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0012
41,kidnappings,kidnapping,28,,,,,,,,,,,,,29,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0012
42,guerrillas,guerrilla,3,,,,,,,,,,,,,19,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0013
43,surgeon,surgeon,8,a,a,,,cosmetic,1,,,,,,,19,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0013
44,wife,wife,11,,,,,,,,,,,,,19,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0013
45,way,way,17,,,,,,,,,,,,,19,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0013
46,car,car,8,,,,,,,,,,,,,17,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0014
47,bombs,bombs,9,,,two,two,,,car,car,1,,,,17,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0014
48,population,population,12,an,an,,,Shiite,1,,,,,,,27,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0015
49,lookout,lookout,18,the,the,,,,,,,,saboteurs,saboteur,1,27,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0015
50,saboteurs,saboteur,21,,,,,,,,,,,,,27,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0015
51,willingness,willingness,2,This,This,,,,,,,,,,,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0016
52,difference,difference,6,the,the,,,main,1,,,,number,number,1,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0016
53,number,number,9,the,the,,,,,,,,bombings,bombing,1,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0016
54,bombings,bombing,11,,,,,,,,,,south,south,1,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0016
55,south,south,14,the,the,,,,,,,,north,north,1,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0016
56,center,center,19,,,,,,,,,,,,,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0016
57,north,north,21,the,the,,,,,center,center,1,country,country,1,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0016
58,country,country,24,the,the,,,,,,,,,,,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0016
59,dean,dean,8,,,,,assistant,1,,,,,,,27,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0017
60,driver,driver,22,,,,,,,,,,,,,27,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0017
61,district,district,26,the,the,,,,,,,,,,,27,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0017
62,Guerrillas,guerrilla,1,,,,,,,,,,,,,11,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0018
63,engineer,engineer,4,an,an,,,,,,,,,,,11,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0018
64,clan,clan,9,,,,,,,,,,,,,20,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0019
65,elder,elder,10,a,a,,,,,clan,clan,1,branch,branch,1,20,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0019
66,branch,branch,13,a,a,,,,,,,,tribe,tribe,1,20,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0019
67,tribe,tribe,17,the,the,,,,,,,,,,,20,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0019
68,mother,mother,2,,,,,,,,,,,,,9,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0020
69,attack,attack,8,the,the,,,,,,,,,,,9,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0020
70,leaders,leader,4,,,Two,two,other,1,,,,,,,15,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0021
71,week,week,11,the,the,,,past,1,,,,,,,15,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0021
72,half,half,14,a,a,,,,,,,,,,,15,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0021
73,Guerrillas,guerrilla,1,,,,,,,,,,,,,16,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0022
74,attack,attack,6,an,an,,,,,,,,,,,16,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0022
75,soldiers,soldier,15,,,4,4,Iraqi,1,,,,,,,16,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0022
76,tribe,tribe,8,,,,,,,,,,,,,17,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0023
77,deputy,deputy,11,,,,,,,,,,,,,17,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0023
78,commander,commander,12,,,,,,,deputy,deputy,1,garrison,garrison,1,17,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0023
79,garrison,garrison,16,the,the,,,,,,,,,,,17,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0023
80,members,member,3,,,hundred,hundred,,,,,,,,,40,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0024
81,clan,clan,7,,,,,,,,,,,,,40,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0024
82,killing,killing,19,the,the,,,,,,,,"elder, gunmen","elder, gunman",2,40,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0024
83,clan,clan,22,,,,,,,,,,,,,40,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0024
84,elder,elder,23,,,4,4,,,clan,clan,1,,,,40,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0024
85,sons,son,32,,,,,,,,,,,,,40,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0024
86,gunmen,gunman,35,,,,,,,,,,,,,40,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0024
87,army,army,38,,,,,,,,,,,,,40,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0024
88,uniforms,uniform,39,,,,,Iraqi,1,army,army,1,,,,40,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0024
89,clan,clan,8,a,a,,,"Sunni, Arab",2,,,,,,,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025
90,observers,observer,13,some,some,,,Sunni,1,,,,,,,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025
91,elements,element,17,,,,,Shiite,1,,,,government,government,1,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025
92,government,government,20,the,the,,,,,,,,,,,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025
93,assassination,assassination,25,the,the,,,,,,,,,,,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025
94,work,work,32,the,the,,,,,,,,guerrillas,guerrilla,1,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025
95,guerrillas,guerrilla,36,,,,,"Sunni, Arab",2,,,,,,,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025
96,leaders,leader,40,,,,,,,,,,,,,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025
97,elections,election,47,the,the,,,,,,,,,,,49,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0025
98,request,request,14,a,a,,,,,,,,,,,51,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0026
99,individuals,individual,22,,,51,51,,,,,,,,,51,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0026
100,party,party,26,,,,,,,,,,,,,51,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0026
101,lists,list,27,,,,,,,party,party,1,elections,election,1,51,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0026
102,elections,election,32,the,the,,,,,,,,,,,51,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0026
103,grounds,grounds,34,,,,,involved,1,,,,,,,51,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0026
104,activities,activity,42,,,,,,,,,,,,,51,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0026
105,office,office,50,,,,,civil,1,,,,,,,51,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0026
106,Commission,commission,2,The,The,,,,,,,,,,,13,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0027
107,grounds,grounds,8,no,no,,,legal,1,,,,exclusion,exclusion,1,13,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0027
108,exclusion,exclusion,12,an,an,,,,,,,,,,,13,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0027
109,item,item,2,This,This,,,,,,,,,,,10,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0028
110,one,one,6,a,a,,,small,1,,,,,,,10,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0028
111,view,view,4,,,,,,,,,,,,,9,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0029
112,arms,arm,26,the,the,,,,,,,,guerrillas,guerrilla,1,30,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0030
113,guerrillas,guerrilla,29,the,the,,,,,,,,,,,30,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0030
114,ties,tie,13,,,,,,,,,,clientelage,clientelage,1,20,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0031
115,clientelage,clientelage,15,,,,,,,,,,,,,20,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0031
116,list,list,9,the,the,,,"dominant, Shiite",2,,,,,,,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0032
117,seats,seat,21,,,,,many,1,,,,parliament,parliament,1,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0032
118,parliament,parliament,25,the,the,,,new,1,,,,,,,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0032
119,officers,officer,4,Some,Some,"2,000","2,000",junior,1,,,,army,army,1,28,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0033
120,army,army,9,the,the,,,old,1,,,,,,,28,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0033
121,duty,duty,14,,,,,,,,,,,,,28,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0033
122,months,month,17,,,,,recent,1,,,,,,,28,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0033
123,people,people,9,,,,,,,,,,,,,16,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0034
124,membership,membership,15,,,,,"mere, past",2,,,,,,,16,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0034
125,situation,situation,2,The,The,,,,,,,,,,,13,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0035
126,way,way,12,this,this,,,,,,,,,,,13,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0035
127,crime,crime,5,a,a,,,,,,,,humanity,humanity,1,12,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0036
128,humanity,humanity,7,,,,,,,,,,,,,12,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0036
129,person,person,11,the,the,,,,,,,,,,,12,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0036
130,rights,rights,15,the,the,,,same,1,,,,,,,19,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0037
131,eyewitness,eyewitness,11,a,a,,,key,1,,,,trial,trial,1,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0038
132,trial,trial,14,the,the,,,,,,,,massacre,massacre,1,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0038
133,massacre,massacre,21,a,a,1982,1982,,,,,,,,,26,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0038
134,team,team,2,A,A,,,,,,,,court,court,1,14,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0039
135,court,court,5,the,the,,,,,,,,,,,14,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0039
136,deposition,deposition,10,,,,,,,,,,,,,14,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0039
137,trial,trial,2,The,The,,,,,,,,,,,7,weblog-juancole.com_juancole_20051126063000_ENG_20051126_063000-0040
138,fighting,fighting,4,the,the,,,,,,,,,,,17,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0001
139,areas,area,9,,,,,several,1,,,,,,,17,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0001
140,city,city,14,,,,,,,,,,,,,17,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0001
141,neighbourhoods,neighbourhood,9,,,,,,,,,,,,,21,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0002
142,talk,talk,4,,,,,,,,,,,,,13,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0003
143,night,night,7,,,,,,,,,,,,,13,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0003
144,curfew,curfew,8,the,the,,,,,night,night,1,,,,13,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0003
145,neighbourhood,neighbourhood,2,,,,,,,,,,,,,22,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0004
146,troops,troops,8,,,,,American,1,,,,,,,22,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0004
147,days,day,11,,,three,three,,,,,,,,,22,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0004
148,helicopters,helicopter,14,,,,,,,,,,,,,22,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0004
149,heads,head,20,,,,,,,,,,,,,22,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0004
150,Fedayeen,fedayeen,1,,,,,,,,,,,,,15,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0005
151,street,street,7,the,the,,,,,,,,,,,15,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0005
152,Yesterday,yesterday,1,,,,,,,,,,,,,46,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0006
153,tens,ten,4,,,,,,,,,,,,,46,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0006
154,road,road,8,,,,,,,,,,,,,46,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0006
155,blocks,block,9,,,,,,,road,road,1,,,,46,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0006
156,street,street,12,,,,,,,,,,,,,46,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0006
157,mortars,mortar,16,,,,,,,,,,,,,46,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0006
158,area,area,29,the,the,,,,,,,,,,,46,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0006
159,mortars,mortar,35,,,,,,,,,,,,,46,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0006
160,AK,ak,40,,,,,,,,,,,,,46,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0006
161,47's,47',42,,,,,,,AK,ak,1,,,,46,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0006
162,air,air,45,the,the,,,,,,,,,,,46,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0006
163,road,road,5,,,,,,,,,,,,,27,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0007
164,blocks,block,6,the,the,,,,,road,road,1,,,,27,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0007
165,positions,position,11,the,the,,,same,1,,,,,,,27,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0007
166,war,war,16,the,the,,,,,,,,,,,27,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0007
167,year,year,18,,,,,last,1,,,,,,,27,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0007
168,people,people,26,the,the,,,same,1,,,,,,,27,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0007
169,people,people,12,,,,,,,,,,,,,28,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0008
170,dream,dream,26,,,,,,,,,,,,,28,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0008
171,land,land,27,,,,,,,dream,dream,1,,,,28,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0008
172,neighbourhood,neighbourhood,9,the,the,,,,,,,,,,,60,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0009
173,civilians,civilian,23,,,,,scared,1,,,,,,,60,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0009
174,helicopter,helicopter,34,a,a,,,,,,,,,,,60,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0009
175,tank,tank,37,a,a,,,,,,,,,,,60,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0009
176,soldiers,soldier,48,,,,,American,1,,,,,,,60,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0009
177,civilians,civilian,56,the,the,,,brave,1,,,,,,,60,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0009
178,Fedayeen,fedayeen,59,the,the,,,,,,,,,,,60,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0009
179,talk,talk,8,some,some,,,,,,,,,,,20,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0010
180,9th,9th,11,,,,,,,,,,,,,20,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0010
181,10th,10th,13,,,,,,,,,,,,,20,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0010
182,days,day,19,,,,,bloody,1,,,,,,,20,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0010
183,people,people,2,,,,,Most,1,,,,,,,34,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0011
184,work,work,7,,,,,,,,,,,,,34,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0011
185,days,day,11,the,the,,,"last, few",2,,,,,,,34,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0011
186,rest,rest,18,the,the,,,,,,,,,,,34,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0011
187,normal,normal,31,,,,,,,,,,,,,34,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0011
188,rumours,rumour,3,,,,,,,,,,preparations,preparation,1,66,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012
189,preparations,preparation,5,,,,,,,,,,"dwellers, spree","dweller, spree",2,66,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012
190,slum,slum,7,,,,,,,,,,,,,66,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012
191,dwellers,dweller,8,,,,,,,slum,slum,1,,,,66,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012
192,looting,looting,11,,,,,,,,,,,,,66,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012
193,spree,spree,12,another,another,,,similar,1,looting,looting,1,banks,bank,1,66,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012
194,banks,bank,14,,,,,,,,,,,,,66,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012
195,property,property,19,,,,,governmental,1,,,,,,,66,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012
196,one,one,23,the,the,,,,,,,,,,,66,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012
197,place,place,26,,,,,,,,,,,,,66,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012
198,youngsters,youngster,35,,,,,,,,,,neighbourhood,neighbourhood,1,66,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012
199,neighbourhood,neighbourhood,38,,,,,,,,,,,,,66,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012
200,things,thing,44,,,,,first,1,,,,,,,66,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012
201,time,time,48,This,This,,,,,,,,,,,66,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012
202,time,time,64,the,the,,,last,1,,,,,,,66,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0012
203,Mosques,mosque,1,,,,,,,,,,,,,31,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0013
204,blood,blood,6,,,,,,,,,,,,,31,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0013
205,food,food,8,,,,,,,,,,,,,31,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0013
206,medicine,medicine,11,,,,,,,,,,,,,31,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0013
207,convoys,convoy,17,,,,,several,1,,,,,,,31,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0013
208,solidarity,solidarity,9,this,this,,,"sudden, false",2,,,,clerics,cleric,1,67,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0014
209,clerics,cleric,15,,,,,Sunni,1,,,,,,,67,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0014
210,throats,throat,31,,,,,other,1,,,,,,,67,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0014
211,chance,chance,36,the,the,,,,,,,,,,,67,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0014
212,clerics,cleric,40,,,,,Shia,1,,,,,,,67,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0014
213,insurgents,insurgents,44,,,,,Fallujan,1,,,,,,,67,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0014
214,terrorists,terrorist,60,,,,,,,,,,,,,67,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0014
215,days,day,65,a,a,,,few,1,,,,,,,67,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0014
216,brother,brother,14,,,,,,,,,,,,,48,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0016
217,brother,brother,19,,,,,,,,,,,,,48,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0016
218,cousin,cousin,22,,,,,,,,,,,,,48,weblog-blogspot.com_healingiraq_20040409053012_ENG_20040409_053012-0016
